глагол,частота
tumačiti,239
sam,238
suprotstaviti,238
obeležavati,238
porasti,236
pravi,235
okupiti,234
preduzeti,234
obezbeđivati,233
slagati,233
funkcionisati,233
dostizati,233
savladati,232
sprečavati,232
uključiti,230
otkrivati,229
okruživati,228
izneti,228
dozvoljavati,227
ispuniti,227
izgovarati,226
zadržavati,225
opadati,225
ubijati,225
pretvarati,224
zatvoriti,224
odobriti,222
izraditi,221
podizati,221
meriti,218
privlačiti,218
pokloniti,218
doživljavati,217
izdvojiti,217
privući,216
bežati,216
prikazati,214
spremati,214
učvrstiti,213
ukloniti,213
probiti,213
oslobađati,210
ostavljati,209
obećati,209
predlagati,209
odvojiti,206
sticati,206
okončati,205
platiti,205
srušiti,204
poneti,204
sretati,202
nadati,202
pokretati,202
obrađivati,201
sastati,201
ratovati,200
odvajati,199
dodavati,199
doseliti,199
polagati,198
poći,197
pretiti,197
rezultovati,196
prebaciti,196
spasiti,195
naterati,195
prevoditi,194
pomenuti,194
upućivati,192
osuditi,192
izučavati,191
seliti,191
podsticati,191
pokoriti,190
pripremati,190
približiti,190
nameravati,189
istraživati,188
uočiti,188
odražavati,185
odvesti,185
proterati,184
snimati,184
proslaviti,183
zabraniti,183
prouzrokovati,180
položiti,180
odbraniti,179
polaziti,178
obaviti,178
komponovati,178
prepoznati,177
identifikovati,176
podstaći,176
okretati,174
predviđati,173
uzmiti,172
brinuti,172
nastaniti,172
pobegnuti,172
zahvatati,172
propasti,171
ponavljati,171
počivati,171
naglašavati,170
spuštati,170
izjasniti,170
posećivati,169
preporučivati,169
pripremiti,169
osetiti,169
ubediti,168
složiti,167
prethoditi,166
zamenjivati,166
uhvatiti,166
truditi,165
izlagati,165
raspasti,165
oboriti,165
primorati,165
zahvatiti,165
spasti,165
pobeđivati,164
opasti,163
insistirati,163
udasti,163
očuvati,162
prodati,162
slušati,161
unositi,161
nedostajati,161
odbacivati,161
glasati,160
načiniti,159
nestati,159
odrasti,159
ponoviti,159
izbegavati,158
nastanjivati,158
preovlađivati,158
poboljšati,158
naneti,158
čiti,157
poleteti,157
uređivati,156
razmatrati,156
ličiti,155
nametnuti,155
udariti,154
prerasti,154
sugerisati,154
živjeti,154
izmeniti,153
udati,153
optužiti,153
nailaziti,152
izvršavati,152
prestajati,151
dokazivati,151
zapisati,149
omogućivati,149
ugušiti,149
rukovoditi,149
otputovati,148
suočiti,148
pretpostaviti,147
rađati,147
izbijati,146
oblikovati,146
zagovarati,146
doktorirati,146
kombinovati,145
podnositi,144
klasifikovati,144
napomenuti,144
dospeti,144
pregovarati,144
finansirati,143
naglasiti,143
suditi,142
školovati,142
zateći,142
prijaviti,141
uzdizati,141
dočekati,141
glumiti,141
najaviti,140
proglašavati,140
zbaciti,140
izbaciti,139
ukazati,139
razbiti,139
shvatati,138
svrstavati,138
promovisati,138
izdržati,138
ustupiti,138
bazirati,137
odatliti,137
savetovati,136
skupiti,136
izrađivati,136
regulisati,135
povezati,135
konstruisati,134
smestiti,134
bešati,134
proizvod,133
kupovati,133
obraćati,132
raspravljati,132
poteći,132
iskrcati,132
odabrati,132
pobuniti,132
obnavljati,132
uhapsiti,132
razdvajati,131
poklapati,131
bacati,131
skloniti,131
sazvati,131
ubrzati,131
projektovati,131
realizovati,130
tretirati,130
uništavati,130
uneti,130
prikupljati,129
takmičiti,129
zavladati,129
izbegnuti,128
ograničavati,128
pomerati,128
spustiti,128
ploviti,128
primeniti,127
zaštititi,127
ograničiti,127
paliti,127
spaliti,127
rešavati,126
izviriti,126
jesti,126
žaliti,125
pišati,124
prikupiti,124
posvećivati,123
prići,123
obilaziti,122
stanovati,122
proceniti,122
događati,122
uspostavljati,122
razgovarati,122
prilagoditi,121
počiniti,121
ponašati,121
približavati,120
kriti,120
zaboraviti,120
odrastati,120
propovedati,120
izračunati,119
raširiti,119
upisivati,118
potpisivati,118
potisnuti,118
suprotstavljati,118
sastajati,118
zamonašiti,118
obavestiti,118
sakupiti,118
zabranjivati,117
zamisliti,117
izdizati,117
spojiti,117
voziti,117
leti,117
izložiti,116
ispoljavati,116
popraviti,116
oduzeti,116
prepustiti,116
diti,116
skupljati,116
rastvarati,116
obavezati,115
postignuti,115
pojačati,115
spavati,114
prodavati,114
smenjivati,114
vlasteti,114
rastati,113
pročitati,113
evoluirati,113
pogubiti,113
uzgajati,113
ispunjavati,112
novesti,112
razmišljati,112
bombardovati,112
oporaviti,111
emigrirati,111
oslabiti,111
lečiti,111
dobići,111
garantovati,110
prirediti,110
pobiti,110
svrstati,110
preduzimati,110
ugledati,110
obuhvatiti,109
zatvarati,109
stupati,109
eskadriti,109
zadovoljavati,108
odigravati,108
kulminirati,108
urediti,108
zanimati,107
usmeriti,107
nanositi,107
mučiti,107
ustati,106
formulisati,106
obići,106
saobraćati,106
zamoliti,106
hraniti,106
olakšati,105
zaposliti,105
uvideti,104
uporediti,104
praktikovati,104
susretati,104
pogoršati,104
sukobiti,104
smeniti,104
pitati,103
dostignuti,103
osmisliti,103
duvati,103
koštati,102
