base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
glasati,izglasati,iz,20,14
kupiti,okupiti,o,21,11
pominjati,spominjati,s,50,35
padati,propadati,pro,53,11
rastati,izrastati,iz,16,5
obratiti,preobratiti,pre,18,7
biti,razbiti,raz,49796,5
slaviti,proslaviti,pro,24,9
javiti,najaviti,na,27,21
ceniti,oceniti,o,6,6
čekati,dočekati,do,13,10
paliti,spaliti,s,9,8
stignuti,postignuti,po,5,8
računati,izračunati,iz,21,13
pustiti,napustiti,na,7,99
držati,izdržati,iz,83,5
činiti,počiniti,po,735,14
ići,razići,raz,99,5
dobiti,pridobiti,pri,411,7
teći,zateći,za,32,11
padati,opadati,o,53,34
slijediti,naslijediti,na,8,6
pasti,upasti,u,59,11
morati,primorati,pri,377,22
pustiti,prepustiti,pre,7,12
pasti,pripasti,pri,59,20
vladati,zavladati,za,181,9
rastati,narastati,na,16,7
raditi,preraditi,pre,305,8
pasti,zapasti,za,59,6
misliti,pomisliti,po,62,5
vršiti,dovršiti,do,113,8
pretiti,zapretiti,za,8,7
gledati,ugledati,u,47,7
ići,naići,na,99,22
nositi,prinositi,pri,138,6
desiti,zadesiti,za,44,5
ploviti,doploviti,do,10,6
slabiti,oslabiti,o,6,11
pustiti,dopustiti,do,7,12
imenovati,preimenovati,pre,73,5
padati,napadati,na,53,16
stupiti,pristupiti,pri,46,19
boriti,izboriti,iz,100,14
jačati,pojačati,po,8,9
gubiti,pogubiti,po,50,8
rasti,orasti,o,52,9
uočavati,suočavati,s,11,10
pustiti,spustiti,s,7,16
zvati,pozvati,po,150,24
stupiti,ustupiti,u,46,13
stizati,pristizati,pri,33,8
pasti,spasti,s,59,9
pominjati,napominjati,na,50,5
mešati,umešati,u,22,6
pustiti,popustiti,po,7,5
topiti,potopiti,po,6,5
karakterisati,okarakterisati,o,75,5
dati,prodati,pro,232,15
braniti,zabraniti,za,34,23
učiti,izučiti,iz,52,6
sporiti,osporiti,o,5,10
padati,raspadati,ras,53,6
ticati,oticati,o,43,8
trajati,potrajati,po,178,7
uočiti,suočiti,s,28,18
govoriti,dogovoriti,do,342,5
ploviti,oploviti,o,10,6
pisati,raspisati,ras,171,11
oteti,preoteti,pre,7,7
padati,upadati,u,53,6
baviti,nabaviti,na,241,5
teći,proteći,pro,32,5
topiti,otopiti,o,6,6
stradati,nastradati,na,38,7
roditi,izroditi,iz,54,5
moliti,zamoliti,za,20,6
roditi,poroditi,po,54,13
