base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
voziti,uvoziti,u,451,48
lediti,slediti,s,41,1385
morati,primorati,pri,7959,243
graditi,izgraditi,iz,937,810
raditi,izraditi,iz,11858,387
praviti,napraviti,na,1043,2333
zvati,pozvati,po,2737,854
družiti,pridružiti,pri,121,1466
kvariti,pokvariti,po,48,63
tati,stati,s,32,529
roditi,uroditi,u,1080,47
nuditi,ponuditi,po,731,616
trošiti,utrošiti,u,159,27
javljivati,pojavljivati,po,8,2041
svetiti,posvetiti,po,22,773
živeti,zaživeti,za,85923,69
kupiti,pokupiti,po,871,110
slediti,uslediti,u,1385,1088
ići,naići,na,2542,642
pratiti,propratiti,pro,2472,27
zimati,uzimati,u,20,1125
lomiti,slomiti,s,39,188
kupiti,okupiti,o,871,616
ploviti,doploviti,do,283,37
hvatiti,shvatiti,s,22,694
lagati,slagati,s,19,375
pasti,napasti,na,1284,2116
nestati,ponestati,po,348,22
držati,održati,o,2290,2079
udariti,sudariti,s,312,47
poznavati,upoznavati,u,416,485
javljivati,najavljivati,na,8,92
pisati,zapisati,za,3178,244
otkrivati,razotkrivati,raz,747,29
izlaziti,proizlaziti,pro,1349,57
buniti,pobuniti,po,57,228
voditi,provoditi,pro,6553,906
slikati,oslikati,o,75,36
smisliti,osmisliti,o,85,287
glasiti,naglasiti,na,536,222
trpeti,pretrpeti,pre,215,617
seliti,preseliti,pre,431,1285
daviti,udaviti,u,18,82
ticati,sticati,s,624,442
dići,podići,po,29,1377
dati,pridati,pri,6071,14
činiti,učiniti,u,7905,1367
poznati,upoznati,u,59,1197
čiti,učiti,u,341,808
tonuti,potonuti,po,9,104
snivati,zasnivati,za,5,940
dati,odati,o,6071,136
pominjati,spominjati,s,2387,1031
prinositi,doprinositi,do,79,543
rešavati,razrešavati,raz,330,43
gledati,ogledati,o,780,885
hvatati,shvatati,s,118,391
raditi,razraditi,raz,11858,80
koriti,pokoriti,po,25,254
voditi,prevoditi,pre,6553,308
biti,izbiti,iz,1578206,843
kazati,prikazati,pri,2140,578
bući,obući,o,7,44
pasti,zapasti,za,1284,207
ljubiti,poljubiti,po,35,54
stići,dostići,do,2615,866
loviti,uloviti,u,107,24
suditi,presuditi,pre,310,69
pasti,spasti,s,1284,336
činiti,počiniti,po,7905,336
puštati,dopuštati,do,155,140
sporiti,usporiti,u,40,129
poručivati,preporučivati,pre,43,454
kazati,dokazati,do,2140,605
provesti,sprovesti,s,2296,566
kloniti,ukloniti,u,18,458
variti,svariti,s,10,7
pjevati,zapjevati,za,53,11
uočavati,suočavati,s,175,228
remeti,poremeti,po,67,26
hapsiti,uhapsiti,u,98,460
počinjati,započinjati,za,3593,675
biti,ubiti,u,1578206,2308
pustiti,upustiti,u,202,79
nositi,prenositi,pre,4747,1336
laći,slaći,s,5,49
slabiti,oslabiti,o,54,156
slediti,naslediti,na,1385,1385
gledati,pregledati,pre,780,129
kretati,okretati,o,2208,340
smatrati,posmatrati,po,10583,738
vesti,uvesti,u,86,548
spevati,uspevati,u,21,960
staviti,ostaviti,o,777,1499
hladiti,ohladiti,o,87,38
bijati,razbijati,raz,7,78
štetiti,oštetiti,o,26,179
terati,naterati,na,93,421
kidati,skidati,s,20,103
živeti,oživeti,o,85923,151
grabiti,ugrabiti,u,8,37
paliti,zapaliti,za,291,187
biti,pobiti,po,1578206,255
tvoriti,zatvoriti,za,32,409
