глагол,частота
naučiti,234
platiti,230
saznavati,227
sprovesti,227
proslaviti,226
proizvesti,226
poslužiti,226
upasti,226
školovati,223
zalagati,221
poštovati,221
stati,220
ploviti,219
potvrđivati,219
osigurati,219
zadržavati,218
obnoviti,218
nadati,216
odgovoriti,216
privlačiti,215
doživljavati,214
položiti,214
protezati,214
glasiti,213
rukovoditi,213
sastaviti,211
izlagati,211
shvatati,211
potpisivati,210
sticati,210
komponovati,209
nameravati,208
pronalaziti,208
oslanjati,207
okruživati,207
spasti,207
moliti,206
prevesti,206
ubrajati,205
zatvoriti,204
uhvatiti,204
meriti,204
izviriti,203
izdvojiti,203
sprečavati,202
naterati,200
pripisivati,200
objasniti,200
doktorirati,199
probiti,198
funkcionisati,197
odbraniti,197
zateći,197
zaposliti,197
procenjivati,196
obrađivati,196
priznavati,195
sam,195
uočiti,195
reagovati,195
polagati,195
propustiti,195
prijaviti,194
odbaciti,194
oslobađati,194
podizati,193
dospeti,193
prikazati,192
upotrebiti,192
uređivati,192
ustanoviti,191
obeležiti,191
bacati,191
obaviti,190
pogledati,190
pretiti,189
porasti,189
hraniti,189
posećivati,188
srušiti,187
odvojiti,186
pretvarati,185
obeležavati,185
izrađivati,185
izražavati,185
ojačati,184
prestajati,184
kritikovati,184
spremati,182
okretati,181
odrastati,180
brinuti,180
promovisati,180
zahvatati,179
pridruživati,177
udariti,177
izbaciti,176
predviđati,176
istraživati,175
ujediniti,175
odatliti,175
prouzrokovati,174
pogađati,174
raspolagati,174
izraditi,173
nastaniti,173
razumeti,173
najaviti,173
zamenjivati,173
smestiti,172
uništavati,172
admirati,172
ponavljati,171
upoznavati,171
uhapsiti,170
sastati,170
okončati,169
zastupati,169
povezati,169
upućivati,169
identifikovati,168
spavati,168
venčati,167
doprinositi,167
obratiti,167
slagati,167
nailaziti,167
uplovljavati,167
oboriti,166
približiti,163
nedostajati,163
kriti,163
predlagati,163
suprotstaviti,161
ličiti,161
bazirati,160
čitati,160
preduzeti,159
izneti,159
prići,158
slušati,158
pomenuti,157
poći,157
postignuti,156
ispaljivati,156
projektovati,154
dostignuti,154
udati,154
ukloniti,154
sakupljati,153
izboriti,153
osetiti,152
paliti,152
nestati,149
rezultovati,149
odobriti,149
ukazati,149
preporučivati,149
mešati,148
zabraniti,147
čiti,147
prepoznati,147
raspasti,147
odreći,146
pripremiti,146
uzdizati,145
prethoditi,145
prevoditi,145
pripremati,145
izvršavati,143
upisivati,143
osuditi,142
zatvarati,142
korist,142
ponoviti,142
dodavati,142
nastanjivati,142
ponašati,142
iskrcati,142
ispasiti,142
pretpostaviti,140
okupirati,140
realizovati,140
prerasti,139
izbegavati,138
gostovati,137
producirati,137
omogućivati,137
dokazivati,137
poboljšati,137
podnositi,137
glasati,137
ubediti,136
skupljati,136
sakupiti,135
naređivati,135
optužiti,135
oprostiti,135
primeniti,134
prekidati,134
rešavati,134
spašavati,134
razvesti,133
koštati,133
ratovati,133
susretati,133
sakriti,132
obnavljati,132
zahvatiti,131
ispunjavati,131
pristajati,130
propasti,130
izdizati,130
dejstvovati,130
izučavati,129
složiti,129
naneti,129
kombinovati,129
odabrati,129
uzmiti,129
obraćati,128
izbacivati,128
izbijati,128
spaliti,126
protiviti,126
izvući,126
ukinuti,125
popraviti,125
angažovati,125
ispadati,125
opljačkati,124
jesti,124
očuvati,124
stanovati,123
prodavati,123
lečiti,123
produžiti,123
uočavati,123
podstaći,122
otkupiti,122
prodasti,122
zapisati,122
pitati,122
poneti,122
svrstavati,122
pobiti,121
poklapati,121
sastajati,121
opstati,121
izdržati,121
zaljubljivati,121
prebacivati,121
uzgajati,121
rastati,120
posvećivati,120
konstruisati,120
počiniti,120
razmatrati,119
zaljubiti,119
nanositi,119
skloniti,119
simbolizovati,118
leti,118
finansirati,118
pomerati,118
obećati,118
potopiti,118
ispostaviti,118
naglašavati,117
podsticati,117
razgovarati,116
tona,116
prevoziti,116
otputovati,116
zabavljati,115
skupiti,115
snabdevati,115
razmnožavati,115
nametnuti,115
slići,115
poteći,115
mučiti,115
ispoljavati,115
proterati,114
pustiti,114
trpeti,114
insistirati,114
zadovoljavati,114
hrana,113
pokoriti,112
sukobiti,112
oceniti,112
izbegnuti,112
lansirati,111
rađati,111
ugledati,111
prikupiti,110
spustiti,110
kupovati,110
razdvajati,110
eliminisati,110
uvrstiti,109
dogovoriti,109
izmeniti,109
prilagoditi,109
pročitati,108
pucati,108
zaključivati,108
stignuti,108
dočekati,108
nabaviti,108
pripajati,107
strujati,107
zaštititi,107
približavati,107
načiniti,106
žaliti,106
aktivirati,106
opasti,106
odbacivati,105
osmisliti,105
izdržavati,105
puštati,104
učvrstiti,104
savetovati,104
dobići,104
eksplodirati,104
eskadriti,104
odražavati,103
dizajnirati,103
streljati,103
otpevati,103
oporaviti,103
potonuti,103
stupati,103
priključivati,103
gaviti,103
događati,103
pobuniti,102
tretirati,102
proizvod,102
primorati,102
bombardovati,102
potapati,101
proglašavati,101
kreirati,100
izgovarati,100
obavestiti,100
unositi,99
pati,99
razbiti,99
raspravljati,99
iseliti,99
ugušiti,98
izjasniti,98
manifestovati,98
izgrađivati,98
suočiti,98
odvoditi,98
iskrcavati,98
ograničavati,98
emigrirati,97
inspirisati,97
pohvaliti,97
viceadmirati,97
diti,97
magistrirati,96
odigravati,96
preovlađivati,96
svoditi,96
sazvati,95
oduzeti,95
generisati,95
regulisati,94
suprotstavljati,94
zaboraviti,94
premestiti,94
prilaziti,94
primećivati,94
prikupljati,94
pišati,93
jao,93
naslikati,92
pregovarati,92
poslovati,92
obilaziti,92
dinati,92
isplatiti,91
kružiti,91
prirediti,91
transformisati,91
oblikovati,91
izračunati,91
piti,91
napomenuti,91
poleteti,91
utvrđivati,90
potražiti,90
obavezati,90
optuživati,90
potisnuti,90
spasati,90
pojačati,90
narasti,89
prepustiti,89
izgoreti,89
analizirati,89
projektiti,89
suditi,89
zadovoljiti,89
oživeti,89
sviliti,88
poveriti,88
pogubiti,88
oštetiti,88
počivati,88
povrediti,88
zaustavljati,88
ubaciti,88
zapošljavati,88
novesti,88
obići,88
raširiti,87
smenjivati,87
obilovati,87
saobraćati,87
naglasiti,87
zamoliti,87
sadržavati,87
ugroziti,86
zabranjivati,86
pusti,86
zapasti,86
jačiti,86
skrenuti,85
komunicirati,85
svrstati,84
tj.,84
plašiti,84
dospevati,84
dočeći,84
uspostavljati,84
klasifikovati,83
negovati,83
izjašnjavati,83
kontraadmirati,83
maršati,82
plivati,82
družiti,82
nestajati,82
registrovati,82
odseliti,81
pošati,81
opkoliti,81
nagovoriti,81
uporediti,81
probuditi,81
ženiti,81
zaigrati,81
rivati,80
uneti,80
sugerisati,80
uložiti,80
olakšati,80
sumnjati,80
garantovati,80
trijumfovati,80
obuhvatiti,80
urediti,80
prevazići,80
bojati,80
starati,80
ustupiti,80
unaprediti,79
ilustrovati,79
prodreti,79
preduzimati,79
ustati,79
bogumiti,79
poseta,78
razmišljati,78
onemogućiti,78
skočiti,78
istražiti,78
izložiti,78
raniti,77
gavati,77
skretati,77
hvatati,77
zamonašiti,77
sedeti,77
nadgledati,77
službovati,77
djelovati,77
raskinuti,76
blokirati,76
sreti,76
propovedati,76
smetati,76
dopustiti,76
uklanjati,76
bolovati,76
posjedovati,76
suočavati,76
rečiti,76
isključivati,75
prepoznavati,75
ugasiti,75
orasti,75
likvidirati,75
žrtvovati,75
}-,75
vidjeti,75
bešati,75
iskazivati,74
dugovati,74
spojiti,74
naručiti,74
ugrožavati,74
podučavati,74
obaveštavati,73
ubrzati,73
uveriti,73
vokati,73
opredeliti,73
zadesiti,73
zahtijevati,73
oslabiti,72
udružiti,72
probijati,72
zanimati,72
saopštiti,72
usmeriti,72
preskočiti,72
zbaciti,72
prebeći,72
rušiti,72
skrivati,72
loviti,72
proceniti,71
zamisliti,71
ograničiti,71
proširivati,71
upozoravati,71
javati,71
usloviti,71
proizilaziti,71
pridržavati,71
priprema,70
izjavljivati,70
ometati,70
izvučiti,70
rasporediti,70
gajiti,70
inervisati,70
pozajmiti,69
zadobiti,69
doseljavati,69
oformiti,69
rastvarati,69
fokusirati,69
zaostajati,69
vlasteti,69
pogoršati,68
spasavati,68
ispitovati,68
praktikovati,68
otkazati,68
pristići,68
formulisati,68
unistiti,67
ispitati,67
transportovati,67
probovati,67
darovati,67
detektovati,67
smeštati,66
prozvati,66
pomisliti,66
najavljivati,66
uzmeti,66
poklanjati,66
slomiti,65
napuniti,65
usmeravati,65
izveštavati,65
umresati,65
osiguravati,65
kandidovati,65
kulminirati,65
odraziti,65
apsorbovati,65
izvlačiti,64
razići,64
pomiriti,64
sediti,64
pomeriti,64
nametati,64
obećavati,64
uvideti,64
izjednačiti,64
popesti,64
popravljati,63
preseti,63
odobravati,63
potpadati,63
osnoviti,63
svesti,63
predsedavati,63
koncentrisati,63
oslići,63
ovladati,63
uslovljavati,63
dopati,63
taložiti,63
razdvojiti,62
manastirati,62
zavladati,62
potući,62
odati,62
pojačavati,62
operisati,62
raspustiti,62
viđati,62
mresti,62
pogodovati,62
umrasti,61
evoluirati,61
naseti,61
dopuštati,61
obojati,61
obnova,61
ispričati,61
upoređivati,61
oterati,61
zaposeti,61
onemogućavati,61
porediti,61
trošiti,61
oteti,61
patrolirati,61
nanizati,61
zarađivati,60
smeniti,60
zapaliti,60
izvoziti,60
prevariti,60
domoći,60
kazniti,60
prekrivati,60
otkloniti,60
izmisliti,60
opsluživati,60
zimeti,59
umanjiti,59
započneti,59
uspjeti,59
olakšavati,59
zagovarati,59
krunisati,58
opsedati,58
angaživati,58
vezati,58
dostaviti,58
odložiti,58
isploviti,58
ignorisati,58
razoriti,58
skinuti,58
obrasti,58
propisivati,58
zasnovati,57
obitavati,57
proveriti,57
zapretiti,57
uspiti,57
poništiti,57
poznati,57
iskazati,57
temeljiti,57
porušiti,57
pozdraviti,57
poboljšavati,57
raspad,57
promašivati,57
prisiliti,56
sklapati,56
gasiti,56
usavršavati,56
priložiti,56
vaditi,56
isključiti,56
prevazilaziti,56
isplovljavati,56
ohrabriti,56
zapaziti,56
maturirati,56
osvesiti,55
otpočinjati,55
sukobljavati,55
