base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
beći,razbeći,raz,2,1
tići,stići,s,2,984
dariti,udariti,u,2,122
dati,predati,pre,2374,611
uzeti,zauzeti,za,314,1128
leteti,naleteti,na,41,12
ginuti,izginuti,iz,4,30
poseti,zaposeti,za,10,33
beležiti,zabeležiti,za,293,350
udariti,sudariti,s,122,23
goreti,izgoreti,iz,6,66
pustiti,spustiti,s,81,107
goreti,pregoreti,pre,6,1
puštati,propuštati,pro,53,49
ticati,proticati,pro,335,513
pleniti,zapleniti,za,12,38
pasti,napasti,na,549,1001
jačati,ojačati,o,41,147
biti,razbiti,raz,512055,143
kružiti,okružiti,o,52,26
vešati,povešati,po,6,1
paliti,zapaliti,za,85,71
rastiti,prerastiti,pre,1,34
svetiti,posvetiti,po,6,333
kupiti,prikupiti,pri,455,148
pustiti,napustiti,na,81,1396
formiti,oformiti,o,1,54
virati,svirati,s,1,383
ustaviti,zaustaviti,za,2,347
pstati,opstati,o,1,85
lati,raslati,ras,4,56
dati,zadati,za,2374,79
slediti,uslediti,u,557,376
rasti,porasti,po,654,148
javljivati,pojavljivati,po,1,1101
tradati,stradati,s,2,298
teći,zateći,za,366,132
šivati,zašivati,za,2,1
poraviti,oporaviti,o,1,116
bići,obići,o,4,95
plašiti,uplašiti,u,71,28
pljačkati,opljačkati,o,59,126
družiti,pridružiti,pri,57,665
tupiti,stupiti,s,1,392
rastati,narastati,na,65,24
pisati,pripisati,pri,1679,57
bližiti,približiti,pri,9,116
vući,provući,pro,35,14
provesti,sprovesti,s,1110,303
lomiti,slomiti,s,21,60
nuditi,prinuditi,pri,484,32
poznati,spoznati,s,30,32
bratiti,obratiti,o,8,180
glasiti,proglasiti,pro,257,437
slići,oslići,o,51,48
polagati,raspolagati,ras,201,222
graditi,izgraditi,iz,432,481
ploviti,oploviti,o,144,11
pominjati,spominjati,s,1082,343
slutiti,naslutiti,na,4,14
vezati,povezati,po,64,184
znati,doznati,do,1391,25
vijati,razvijati,raz,2,984
trošiti,utrošiti,u,74,14
krcati,ukrcati,u,1,24
premiti,opremiti,o,3,30
držati,zadržati,za,979,758
vidjeti,svidjeti,s,24,1
stavljati,nastavljati,na,324,790
stadositi,pristadositi,pri,2,2
teći,steći,s,366,981
isticati,proisticati,pro,596,70
miriti,pomiriti,po,15,62
žati,prižati,pri,1,2
pomenuti,napomenuti,na,122,103
potrebljavati,upotrebljavati,u,1,318
staviti,postaviti,po,386,1104
pojati,spojati,s,2,29
mazati,premazati,pre,3,6
vući,uvući,u,35,25
saditi,zasaditi,za,46,22
titi,rastiti,ras,6,1
premiti,pripremiti,pri,3,155
kratiti,skratiti,s,4,41
seći,preseći,pre,46,57
ljubiti,priljubiti,pri,15,3
krenuti,okrenuti,o,769,218
metati,nametati,na,1,100
slabiti,oslabiti,o,21,66
puniti,popuniti,po,25,70
krivati,prikrivati,pri,7,22
kidati,skidati,s,10,39
vesti,privesti,pri,28,28
topiti,rastopiti,ras,34,6
kiniti,skiniti,s,1,23
davati,dodavati,do,1541,302
hladiti,ohladiti,o,34,21
dati,dodati,do,2374,517
cediti,procediti,pro,5,5
grejati,zagrejati,za,22,20
mešati,izmešati,iz,231,8
igrati,zaigrati,za,5551,100
stizati,postizati,po,323,405
deliti,dodeliti,do,1137,258
setiti,posetiti,po,23,295
puniti,dopuniti,do,25,43
padati,zapadati,za,293,18
praviti,popraviti,po,498,155
svojiti,osvojiti,o,1,6662
porediti,uporediti,u,101,113
ostaviti,izostaviti,iz,663,35
laviti,slaviti,s,6,191
skrnaviti,oskrnaviti,o,3,9
jiti,pojiti,po,1,7
kriti,pokriti,po,154,46
baciti,izbaciti,iz,206,221
viriti,izviriti,iz,13,94
laziti,zalaziti,za,1,33
stojati,nastojati,na,12,323
svojiti,prisvojiti,pri,1,35
divljati,podivljati,po,1,5
stupiti,pristupiti,pri,392,385
vladati,prevladati,pre,781,12
vezivati,povezivati,po,23,493
bogatiti,obogatiti,o,5,34
očiti,uočiti,u,12,171
premati,pripremati,pri,22,156
stvarivati,ostvarivati,o,3,259
koriti,pokoriti,po,4,86
klanjati,sklanjati,s,7,26
laziti,polaziti,po,1,110
brojiti,izbrojiti,iz,11,5
pustošiti,opustošiti,o,43,51
ilaziti,nailaziti,na,3,137
stavljati,ostavljati,o,324,264
snivati,osnivati,o,1,262
stavljati,postavljati,po,324,542
goniti,progoniti,pro,54,54
stradati,nastradati,na,298,44
ceći,poceći,po,2,2
vijati,povijati,po,2,10
neći,poneći,po,3,31
terati,oterati,o,35,49
tučiti,potučiti,po,14,9
slediti,naslediti,na,557,659
stajati,pristajati,pri,688,96
slivati,poslivati,po,27,22
poručivati,preporučivati,pre,15,220
pisati,zapisati,za,1679,105
misliti,pomisliti,po,498,51
krenuti,pokrenuti,po,769,744
uzeti,preuzeti,pre,314,981
poznati,prepoznati,pre,30,201
stanjivati,nastanjivati,na,1,136
lagati,polagati,po,8,201
čiti,učiti,u,159,438
rasti,dorasti,do,654,12
poloviti,prepoloviti,pre,4,14
nedriti,iznedriti,iz,1,19
laziti,ulaziti,u,1,632
metati,ometati,o,1,87
štetiti,oštetiti,o,14,57
baciti,prebaciti,pre,206,282
siti,ositi,o,66,2
gubiti,pogubiti,po,447,73
stupiti,ustupiti,u,392,102
znati,priznati,pri,1391,512
pustiti,popustiti,po,81,35
bivati,dobivati,do,434,17
štititi,zaštititi,za,241,118
nuditi,ponuditi,po,484,265
vaditi,zavaditi,za,45,6
terati,naterati,na,35,149
tvoriti,pretvoriti,pre,10,241
videti,uvideti,u,1928,62
davati,prodavati,pro,1541,146
prodavati,preprodavati,pre,146,2
metati,smetati,s,1,43
iditi,viditi,v,7,49
pitati,upitati,u,123,23
kazivati,dokazivati,do,8,124
niti,naniti,na,5,5
pavati,spavati,s,2,112
vratiti,povratiti,po,2436,264
padati,propadati,pro,293,49
zvati,pozvati,po,1222,326
stati,pristati,pri,242,215
dirati,dodirati,do,24,26
vesti,prevesti,pre,28,273
boriti,izboriti,iz,795,201
pasti,raspasti,ras,549,112
moliti,zamoliti,za,119,54
ostajati,preostajati,pre,855,12
titi,pretiti,pre,6,165
snovati,osnovati,o,1,1146
ići,naići,na,1070,252
kazivati,ukazivati,u,8,765
plašiti,preplašiti,pre,71,4
živeti,proživeti,pro,4209,10
iti,siti,s,3,66
činiti,načiniti,na,3154,105
kaniti,okaniti,o,1,1
čekati,dočekati,do,230,133
