base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
laziti,nalaziti,na,1,13239
nositi,iznositi,iz,2129,2744
padati,pripadati,pri,377,2658
dizati,izdizati,iz,26,114
oditi,voditi,v,4,3474
ticati,proticati,pro,387,396
stići,postići,po,1693,1332
živeti,doživeti,do,5881,668
pisati,napisati,na,1534,1512
biti,dobiti,do,562731,6433
glasiti,proglasiti,pro,318,895
bijati,dobijati,do,2,2032
stati,prestati,pre,271,510
kupirati,okupirati,o,6,249
držati,zadržati,za,1423,917
uočavati,suočavati,s,107,121
naći,snaći,s,2044,34
pustiti,napustiti,na,101,1516
snovati,osnovati,o,1,1473
veo,uveo,u,7,314
ticati,poticati,po,387,1523
likovati,razlikovati,raz,4,1254
potrebljavati,upotrebljavati,u,2,567
stojati,postojati,po,16,8035
viti,razviti,raz,8,1351
terati,proterati,pro,40,185
deliti,podeliti,po,1254,607
seliti,naseliti,na,270,460
stati,postati,po,271,8858
padati,napadati,na,377,465
slati,poslati,po,609,1225
ratiti,vratiti,v,2,2717
biti,izbiti,iz,562731,531
uzeti,preuzeti,pre,381,1278
vesti,dovesti,do,44,2075
dlaziti,odlaziti,o,1,875
puštati,napuštati,na,92,488
siliti,prisiliti,pri,1,119
dati,predati,pre,2939,1150
naći,pronaći,pro,2044,632
vladati,zavladati,za,1176,134
udati,preudati,pre,124,23
staviti,nastaviti,na,454,1985
sijeti,posijeti,po,1,1
stojati,nastojati,na,16,359
vratiti,povratiti,po,2717,450
posjedati,zaposjedati,za,4,1
gasiti,ugasiti,u,26,67
pasti,pripasti,pri,700,351
kušati,pokušati,po,3,1376
zimati,uzimati,u,20,632
uzeti,zauzeti,za,381,1845
uzimati,zauzimati,za,632,918
tumačiti,protumačiti,pro,248,55
pasti,upasti,u,700,413
tići,stići,s,1,1693
puštati,prepuštati,pre,92,36
stati,ostati,o,271,3178
pustiti,prepustiti,pre,101,148
seliti,preseliti,pre,270,533
tvrditi,utvrditi,u,1346,532
pasti,propasti,pro,700,170
čuvati,očuvati,o,622,147
kazivati,prikazivati,pri,17,605
teći,zateći,za,501,197
uzimati,preuzimati,pre,632,398
miriti,pomiriti,po,14,80
živiti,doživiti,do,10,21
