base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
nositi,iznositi,iz,2129,2744
padati,pripadati,pri,377,2658
dizati,izdizati,iz,26,114
ticati,proticati,pro,387,396
stići,postići,po,1693,1332
živeti,doživeti,do,5881,668
pisati,napisati,na,1534,1512
biti,dobiti,do,562731,6433
glasiti,proglasiti,pro,318,895
stati,prestati,pre,271,510
kupirati,okupirati,o,6,249
držati,zadržati,za,1423,917
uočavati,suočavati,s,107,121
naći,snaći,s,2044,34
pustiti,napustiti,na,101,1516
veo,uveo,u,7,314
ticati,poticati,po,387,1523
stojati,postojati,po,16,8035
viti,razviti,raz,8,1351
terati,proterati,pro,40,185
deliti,podeliti,po,1254,607
seliti,naseliti,na,270,460
stati,postati,po,271,8858
padati,napadati,na,377,465
slati,poslati,po,609,1225
biti,izbiti,iz,562731,531
uzeti,preuzeti,pre,381,1278
vesti,dovesti,do,44,2075
puštati,napuštati,na,92,488
dati,predati,pre,2939,1150
naći,pronaći,pro,2044,632
vladati,zavladati,za,1176,134
udati,preudati,pre,124,23
staviti,nastaviti,na,454,1985
stojati,nastojati,na,16,359
vratiti,povratiti,po,2717,450
gasiti,ugasiti,u,26,67
pasti,pripasti,pri,700,351
zimati,uzimati,u,20,632
uzeti,zauzeti,za,381,1845
uzimati,zauzimati,za,632,918
tumačiti,protumačiti,pro,248,55
pasti,upasti,u,700,413
puštati,prepuštati,pre,92,36
stati,ostati,o,271,3178
pustiti,prepustiti,pre,101,148
seliti,preseliti,pre,270,533
tvrditi,utvrditi,u,1346,532
pasti,propasti,pro,700,170
čuvati,očuvati,o,622,147
kazivati,prikazivati,pri,17,605
teći,zateći,za,501,197
uzimati,preuzimati,pre,632,398
miriti,pomiriti,po,14,80
živiti,doživiti,do,10,21
pisati,raspisati,ras,1534,51
gubiti,izgubiti,iz,587,1734
vući,povući,po,45,1422
dati,dodati,do,2939,355
činiti,učiniti,u,4095,966
dobijati,pridobijati,pri,2032,8
nositi,nanositi,na,2129,122
činiti,počiniti,po,4095,149
roditi,uroditi,u,502,26
ići,prići,pr,1410,155
stavljati,postavljati,po,327,561
stajati,postajati,po,875,2389
slijediti,naslijediti,na,17,40
kazivati,ukazivati,u,17,548
javiti,pojaviti,po,524,1499
čiti,učiti,u,185,491
smatrati,posmatrati,po,5060,434
staviti,ostaviti,o,454,921
brisati,obrisati,o,24,12
sušiti,osušiti,o,47,28
kazivati,pokazivati,po,17,1183
dati,odati,o,2939,85
biti,ubiti,u,562731,1138
izvesti,proizvesti,pro,781,306
voditi,dovoditi,do,3474,981
gađati,događati,do,40,143
ticati,uticati,u,387,1279
početi,započeti,za,5163,1471
aviti,praviti,pr,31,604
lediti,slediti,s,23,825
visiti,zavisiti,za,12,795
voditi,izvoditi,iz,3474,700
izaći,proizaći,pro,456,39
poručivati,preporučivati,pre,16,177
lagati,razlagati,raz,8,29
hvatiti,prihvatiti,pri,10,1147
kriti,pokriti,po,133,51
živeti,preživeti,pre,5881,458
padati,spadati,s,377,955
stavljati,nastavljati,na,327,641
pisati,upisati,u,1534,324
vršiti,završiti,za,1291,2403
stupati,nastupati,na,112,893
rasti,porasti,po,591,225
dići,izdići,iz,25,13
sloviti,usloviti,u,9,76
gledati,ugledati,u,407,98
zvati,nazvati,na,1647,533
misliti,zamisliti,za,584,111
zbuniti,uzbuniti,u,13,14
hvatati,zahvatati,za,76,130
gledati,ogledati,o,407,300
stavljati,ostavljati,o,327,258
živeti,oživeti,o,5881,117
premati,spremati,s,21,205
voditi,navoditi,na,3474,885
ložiti,izložiti,iz,6,106
pitati,upitati,u,100,59
praviti,napraviti,na,604,1224
kazati,dokazati,do,1159,385
znati,priznati,pri,1653,668
ženiti,oženiti,o,54,617
prinositi,doprinositi,do,68,267
ideti,videti,v,15,2072
javiti,izjaviti,iz,524,589
davati,predavati,pre,1395,492
stajati,nastajati,na,875,1193
raditi,proraditi,pro,4339,20
vesti,provesti,pro,44,912
tvoriti,otvoriti,o,13,592
rasti,orasti,o,591,99
rušiti,srušiti,s,68,235
setiti,posetiti,po,20,378
lagati,slagati,s,8,212
truditi,potruditi,po,168,30
kazati,pokazati,po,1159,1649
seti,preseti,pre,12,67
spevati,dospevati,do,6,68
usmeravati,preusmeravati,pre,144,11
padati,opadati,o,377,233
provesti,sprovesti,s,912,296
leteti,poleteti,po,42,53
ceniti,proceniti,pro,66,113
pasti,opasti,o,700,136
kvariti,pokvariti,po,17,30
učiti,izučiti,iz,491,27
leteti,proleteti,pro,42,15
očiti,uočiti,u,10,198
moći,pomoći,po,19797,1092
kupiti,prikupiti,pri,427,113
stići,pristići,pri,1693,76
vršiti,izvršiti,iz,1291,1270
paliti,upaliti,u,145,21
izvoditi,proizvoditi,pro,700,641
praviti,popraviti,po,604,147
stići,dostići,do,1693,416
pisati,opisati,o,1534,606
meriti,izmeriti,iz,294,70
tati,stati,s,20,271
stići,prestići,pre,1693,27
stignuti,dostignuti,do,141,158
buditi,probuditi,pro,22,101
mirovati,umirovati,u,10,8
klanjati,poklanjati,po,20,57
pominjati,spominjati,s,1182,526
nositi,prenositi,pre,2129,537
dati,izdati,iz,2939,943
seliti,doseliti,do,270,241
uzrokovati,prouzrokovati,pro,361,165
dizati,podizati,po,26,199
držati,održati,o,1423,944
deliti,dodeliti,do,1254,269
ispitivati,preispitivati,pre,51,10
štediti,poštediti,po,12,18
misliti,razmisliti,raz,584,10
minirati,dominirati,do,16,501
širiti,proširiti,pro,494,653
boriti,izboriti,iz,1275,187
dignuti,izdignuti,iz,32,5
tražiti,potražiti,po,1396,114
ići,naići,na,1410,279
pustiti,spustiti,s,101,144
spevati,uspevati,u,6,607
dirati,nadirati,na,23,20
terati,naterati,na,40,244
vesti,povesti,po,44,357
robiti,zarobiti,za,5,346
govoriti,nagovoriti,na,2386,102
plaviti,preplaviti,pre,34,23
pasti,raspasti,ras,700,164
pomenuti,napomenuti,na,133,164
hvatiti,uhvatiti,u,10,296
vući,izvući,iz,45,166
sreti,presreti,pre,91,50
hvatiti,shvatiti,s,10,412
vući,privući,pri,45,274
pasti,napasti,na,700,1144
trpeti,pretrpeti,pre,112,434
držati,izdržati,iz,1423,158
gledati,izgledati,iz,407,407
raditi,izraditi,iz,4339,205
interesovati,zainteresovati,za,60,47
čitati,pročitati,pro,168,156
dići,podići,po,25,719
provoditi,sprovoditi,s,326,367
vezivati,povezivati,po,36,626
slediti,proslediti,pro,825,26
učiti,naučiti,na,491,312
broditi,prebroditi,pre,6,20
viditi,uviditi,u,62,11
tvoriti,pretvoriti,pre,13,404
počinjati,započinjati,za,2078,368
beležiti,zabeležiti,za,301,342
setiti,osetiti,o,20,173
prineti,doprineti,do,29,565
davati,prodavati,pro,1395,143
čati,pričati,pri,26,271
biti,probiti,pro,562731,330
teći,steći,s,501,872
nositi,donositi,do,2129,791
svetiti,posvetiti,po,9,399
žuriti,požuriti,po,33,46
sećati,prisećati,pri,32,30
misliti,pomisliti,po,584,61
vesti,navesti,na,44,306
graditi,izgraditi,iz,679,512
tvoriti,stvoriti,s,13,1183
baviti,nabaviti,na,1858,66
družiti,pridružiti,pri,66,757
nuditi,ponuditi,po,311,388
raditi,uraditi,u,4339,489
javiti,prijaviti,pri,524,187
poznati,upoznati,u,51,554
jačati,pojačati,po,65,157
trajati,potrajati,po,1698,99
hrabriti,ohrabriti,o,26,53
videti,svideti,s,2072,32
zvati,pozvati,po,1647,465
vratiti,navratiti,na,2717,6
ložiti,složiti,s,6,165
baciti,izbaciti,iz,286,308
vesti,izvesti,iz,44,781
stati,nastati,na,271,2612
videti,uvideti,u,2072,93
krenuti,okrenuti,o,1647,334
tražiti,zatražiti,za,1396,410
davati,dodavati,do,1395,165
stajati,ostajati,o,875,968
kretati,okretati,o,1238,200
javiti,najaviti,na,524,183
rezati,urezati,u,8,7
poznavati,upoznavati,u,262,153
krenuti,pokrenuti,po,1647,586
lažiti,razlažiti,raz,15,34
većati,povećati,po,9,544
većati,uvećati,u,9,63
