глагол,частота
biti,887637
nalaziti,230463
živeti,222864
imati,36410
moći,15565
hteti,6657
postati,5933
koristiti,5663
raditi,5268
igrati,5137
učestvovati,4967
postojati,4789
osvojiti,4733
predstavljati,4382
dobiti,4341
početi,3938
završiti,3478
morati,3249
smatrati,3242
napisati,3087
trebati,2987
činiti,2892
doći,2728
pripadati,2279
voditi,2274
režirati,2159
vratiti,2042
ostati,2037
baviti,2030
govoriti,1982
postići,1858
nastaviti,1790
nemati,1759
dolaziti,1740
dati,1738
objaviti,1736
nastati,1727
nositi,1653
moresoti,1650
uspeti,1646
odnositi,1595
sadržati,1556
naći,1547
uključivati,1543
debitovati,1521
takmičiti,1468
počinjati,1451
odigrati,1449
preći,1386
nastupati,1375
umreti,1374
ući,1374
postajati,1366
sastojati,1358
dovesti,1351
započeti,1341
pisati,1318
dobijati,1314
videti,1310
služiti,1291
želeti,1266
značiti,1210
pokazati,1197
uticati,1195
ostvariti,1181
reći,1167
nazivati,1167
javljati,1166
iznositi,1164
napustiti,1164
znati,1158
zauzeti,1155
pojaviti,1150
otići,1142
obuhvatati,1107
pratiti,1094
provesti,1080
trajati,1080
ići,1070
održavati,1052
tvrditi,1037
napraviti,1037
pojavljivati,1008
organizovati,995
izgubiti,982
osnovati,979
pomoći,979
davati,976
odlaziti,961
kazati,958
boriti,941
razlikovati,941
odlučiti,929
poticati,927
tražiti,912
plasirati,909
formirati,885
stići,878
potpisati,877
zvati,874
pokazivati,870
preuzeti,864
razviti,863
verovati,845
navoditi,833
postaviti,833
vršiti,832
steći,829
deliti,821
obavljati,820
pokušavati,802
otkriti,801
heroniti,800
omogućavati,794
održati,774
braniti,772
ubiti,771
zahtevati,765
pobediti,759
vraćati,759
prelaziti,756
diplomirati,753
razvijati,752
krenuti,751
držati,747
doneti,742
kretati,729
menjati,724
nastajati,722
pružati,721
preseliti,714
napasti,712
montemorelosti,712
video,709
dovoditi,699
pokušati,695
ostajati,695
poslati,681
pomagati,675
pronaći,670
pridružiti,666
nastavljati,661
prihvatiti,658
posedovati,657
stvoriti,657
delovati,652
stvarati,651
pasti,648
pohađati,641
spadati,639
proizvoditi,636
proći,636
ostaviti,631
omogućiti,626
pominjati,625
odvijati,620
opisati,614
studirati,612
penhati,611
završavati,610
izdati,601
objavljivati,598
zavisiti,596
povući,595
čuvati,593
opisivati,593
promeniti,587
izlaziti,586
poginuti,585
izazvati,584
zadržati,582
istaći,582
izvršiti,579
vladati,578
ukazivati,575
predstaviti,574
prikazivati,572
upoznati,570
uetati,569
isticati,555
prolaziti,542
naseljavati,537
podržavati,536
ulaziti,531
učiniti,530
preminuti,530
izvoditi,530
odbiti,522
nastupiti,521
rasti,513
zauzimati,508
uraditi,506
otvoriti,506
upisati,502
obezbediti,494
izjaviti,493
primiti,492
pokrenuti,489
podići,488
voleti,476
označavati,472
desiti,468
zameniti,464
