base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
menjivati,primenjivati,pri,1,324
goniti,pogoniti,po,73,10
davati,zadavati,za,1282,41
voditi,prevoditi,pre,2795,194
davati,dodavati,do,1282,199
raditi,izraditi,iz,3657,221
činiti,učiniti,u,4597,956
vesti,dovesti,do,39,2192
vezivati,povezivati,po,33,551
izaći,proizaći,pro,392,40
širiti,proširiti,pro,582,738
krivati,pokrivati,po,5,298
misliti,zamisliti,za,703,117
stići,postići,po,1275,744
prinositi,doprinositi,do,50,254
snivati,zasnivati,za,1,326
rasti,izrasti,iz,421,55
nositi,donositi,do,1701,638
početi,započeti,za,4746,1187
slediti,uslediti,u,746,529
smatrati,posmatrati,po,5071,346
moći,pomoći,po,17488,836
lediti,slediti,s,26,746
voditi,dovoditi,do,2795,723
vesti,povesti,po,39,302
metiti,prometiti,pro,2,1
vlačiti,privlačiti,pri,1,218
porediti,uporediti,u,68,104
naći,pronaći,pro,1845,525
lagati,slagati,s,4,233
sloniti,osloniti,o,1,41
tvrditi,potvrditi,po,1258,376
prineti,doprineti,do,41,555
pisati,propisati,pro,1866,28
stići,dostići,do,1275,350
stojati,nastojati,na,23,422
zvati,nazvati,na,1428,540
saditi,zasaditi,za,15,16
deliti,podeliti,po,1100,602
ceniti,proceniti,pro,89,122
bići,obići,o,1,106
miriti,pomiriti,po,19,83
kretati,okretati,o,1201,174
cvetati,procvetati,pro,65,16
voditi,uvoditi,u,2795,247
hvatati,shvatati,s,65,138
suditi,osuditi,o,142,192
stupati,zastupati,za,109,244
lagati,zalagati,za,4,369
davati,predavati,pre,1282,430
javiti,prijaviti,pri,424,141
gledati,ogledati,o,428,345
svetiti,posvetiti,po,15,387
pisati,pripisati,pri,1866,79
pijati,upijati,u,3,34
poznati,prepoznati,pre,39,177
letiti,uletiti,u,30,4
biti,pobiti,po,530772,110
baciti,izbaciti,iz,247,139
udariti,sudariti,s,154,27
stignuti,dostignuti,do,73,103
duvati,oduvati,o,103,10
krenuti,pokrenuti,po,1251,522
vratiti,povratiti,po,2273,398
stajati,prestajati,pre,776,151
rasti,narasti,na,421,58
trošiti,potrošiti,po,98,51
vijati,uvijati,u,1,10
jednačiti,ujednačiti,u,1,6
gomilati,nagomilati,na,17,7
vlačiti,uvlačiti,u,1,26
međiti,smeđiti,s,2,1
smatrati,osmatrati,o,5071,11
činiti,načiniti,na,4597,159
rasti,prerasti,pre,421,154
smisliti,osmisliti,o,30,103
iditi,viditi,v,2,42
poznati,upoznati,u,39,466
isteći,proisteći,pro,26,60
gotovati,pogotovati,po,1,48
datirati,predatirati,pre,402,3
značiti,označiti,o,2023,329
ticati,uticati,u,390,1232
interesivati,zainteresivati,za,38,15
opštiti,poopštiti,po,1,2
opštiti,uopštiti,u,1,6
ložiti,razložiti,raz,13,30
stizati,postizati,po,292,267
očiti,uočiti,u,14,188
stanjivati,nastanjivati,na,3,158
sloviti,usloviti,u,9,76
beležiti,ubeležiti,u,257,1
pasti,raspasti,ras,682,165
