base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
atiti,pratiti,pr,4,1094
uzeti,zauzeti,za,240,1155
tvrditi,potvrditi,po,1037,380
dati,izdati,iz,1738,601
kloniti,pokloniti,po,2,189
uzimati,zauzimati,za,432,508
padati,napadati,na,224,220
pleniti,zapleniti,za,11,29
širiti,proširiti,pro,409,414
pasti,upasti,u,648,166
dizati,odizati,o,14,1
hvatiti,zahvatiti,za,9,88
živeti,doživeti,do,222864,449
puštati,upuštati,u,72,23
tati,rastati,ras,6,61
stajati,ustajati,u,460,20
štititi,zaštititi,za,215,117
gledati,ugledati,u,334,49
umeti,razumeti,raz,34,222
naći,ponaći,po,1547,15
dati,podati,po,1738,15
tući,potući,po,18,42
farbati,ofarbati,o,5,2
vaditi,izvaditi,iz,38,27
čuti,začuti,za,337,4
krati,prikrati,pri,2,1
bližiti,približiti,pri,15,120
govoriti,progovoriti,pro,1982,12
plašiti,uplašiti,u,102,17
plakati,oplakati,o,23,1
tvoriti,zatvoriti,za,7,146
vesti,navesti,na,34,282
misliti,pomisliti,po,458,37
krati,ukrati,u,2,27
deliti,podeliti,po,821,327
kleliti,zakleliti,za,1,12
klanjati,priklanjati,pri,14,4
boriti,izboriti,iz,941,218
tići,stići,s,2,878
pominjati,spominjati,s,625,308
nuditi,ponuditi,po,388,284
voditi,uvoditi,u,2274,191
viriti,izviriti,iz,3,66
aviti,praviti,pr,23,345
laziti,prolaziti,pro,2,542
graditi,izgraditi,iz,374,359
većati,povećati,po,3,362
seliti,doseliti,do,204,133
želeti,poželeti,po,1266,13
ticati,proticati,pro,298,243
držati,održati,o,747,774
seti,naseti,na,12,27
citi,preciti,pre,6,5
staniti,nastaniti,na,1,111
kriti,pokriti,po,137,27
paziti,zapaziti,za,35,48
tvoriti,stvoriti,s,7,657
pisati,prepisati,pre,1318,17
crtati,precrtati,pre,40,3
dati,prodati,pro,1738,199
vući,privući,pri,16,302
deliti,odeliti,o,821,3
vračati,svračati,s,2,1
seliti,naseliti,na,204,210
ložiti,položiti,po,5,182
činiti,počiniti,po,2892,94
slijediti,uslijediti,u,24,33
tvoriti,otvoriti,o,7,506
terati,proterati,pro,40,49
pisati,upisati,u,1318,502
slikati,naslikati,na,33,77
lići,slići,s,1,35
lagati,dolagati,do,6,1
ići,izići,iz,1070,6
seliti,zaseliti,za,204,1
jiti,pojiti,po,1,6
periti,speriti,s,6,3
kretati,pokretati,po,729,351
vesti,zavesti,za,34,35
držati,podržati,po,747,319
kopati,zakopati,za,6,10
stupiti,ustupiti,u,403,56
smeriti,usmeriti,u,1,66
svojiti,usvojiti,u,3,218
beležiti,obeležiti,o,214,135
činiti,začiniti,za,2892,8
praviti,napraviti,na,345,1037
pustiti,opustiti,o,85,12
stignuti,postignuti,po,91,149
krivati,prikrivati,pri,4,19
zdraviti,pozdraviti,po,1,39
obiti,sobiti,s,13,1
raciti,oraciti,o,10,1
dati,predati,pre,1738,458
iseti,viseti,v,12,22
stići,postići,po,878,1858
kloniti,skloniti,s,2,95
jačati,ojačati,o,23,89
hvatati,shvatati,s,66,206
vezivati,povezivati,po,23,435
rastati,izrastati,iz,61,27
buniti,pobuniti,po,19,64
blažiti,ublažiti,u,21,35
provesti,sprovesti,s,1080,230
vući,izvući,iz,16,87
raditi,zaraditi,za,5268,155
tonuti,utonuti,u,1,2
krasiti,ukrasiti,u,28,38
voditi,svoditi,s,2274,56
kloniti,ukloniti,u,2,138
dobriti,odobriti,o,7,158
svojiti,prisvojiti,pri,3,28
stati,ustati,u,165,67
morati,primorati,pri,3249,97
rušiti,srušiti,s,38,125
miriti,smiriti,s,18,46
ići,razići,raz,1070,33
krenuti,okrenuti,o,751,139
govoriti,izgovoriti,iz,1982,23
voziti,uvoziti,u,376,27
vučiti,izvučiti,iz,36,40
rasti,porasti,po,513,252
stvariti,ostvariti,o,2,1181
umiti,naumiti,na,3,2
teći,uteći,u,220,3
krstiti,raskrstiti,ras,22,2
rganizovati,organizovati,o,1,995
lagati,izlagati,iz,6,193
polagati,raspolagati,ras,186,204
formiti,oformiti,o,1,42
klanjati,poklanjati,po,14,72
krstiti,ukrstiti,u,22,11
leteti,naleteti,na,22,14
poznati,spoznati,s,27,26
grejati,zagrejati,za,8,16
voditi,prevoditi,pre,2274,118
lagati,prilagati,pri,6,3
ostati,zaostati,za,2037,28
baviti,obaviti,o,2030,176
isteći,proisteći,pro,28,44
sedati,zasedati,za,3,12
matrati,razmatrati,raz,1,150
mašiti,promašiti,pro,1,29
uzeti,preuzeti,pre,240,864
govoriti,dogovoriti,do,1982,64
praviti,popraviti,po,345,135
pravdati,opravdati,o,9,41
porediti,uporediti,u,61,91
roditi,izroditi,iz,411,33
stojati,nastojati,na,6,229
vesti,izvesti,iz,34,295
činiti,načiniti,na,2892,74
vati,uvati,u,1,28
stavljati,ostavljati,o,211,200
klanjati,uklanjati,u,14,76
gostiti,ugostiti,u,1,34
iditi,viditi,v,4,43
trpeti,pretrpeti,pre,45,173
zimati,uzimati,u,13,432
čati,pričati,pri,9,229
stupiti,nastupiti,na,403,521
ostati,izostati,iz,2037,27
čiti,očiti,o,109,17
nositi,ponositi,po,1653,7
rasti,srasti,s,513,18
meriti,pomeriti,po,167,54
spevati,dospevati,do,5,32
šnati,ušnati,u,1,2
lagati,vlagati,v,6,3
lati,slati,s,3,326
lati,raslati,ras,3,58
prineti,doprineti,do,7,396
uzimati,preuzimati,pre,432,230
javiti,najaviti,na,350,219
krenuti,pokrenuti,po,751,489
uditi,suditi,s,5,67
premiti,pripremiti,pri,4,140
rušiti,porušiti,po,38,31
setiti,posetiti,po,21,254
dužiti,produžiti,pro,12,137
mati,primati,pri,2,233
pasti,pripasti,pri,648,233
pasti,napasti,na,648,712
zoviti,pozoviti,po,2,41
brojati,nabrojati,na,407,10
gledati,pregledati,pre,334,51
oriti,razoriti,raz,1,44
koriti,pokoriti,po,3,66
čvrstiti,učvrstiti,u,1,90
astati,sastati,s,1,192
klanjati,sklanjati,s,14,16
koriti,prekoriti,pre,3,1
tražiti,zatražiti,za,912,185
psetiti,opsetiti,o,7,8
vladati,zavladati,za,578,56
dati,odati,o,1738,92
dužiti,odužiti,o,12,25
veriti,poveriti,po,22,55
paliti,spaliti,s,87,61
kupiti,okupiti,o,441,184
klesti,zaklesti,za,1,13
dositi,odositi,o,1,4
gađati,događati,do,30,66
žuriti,požuriti,po,26,23
miriti,pomiriti,po,18,66
glasiti,proglasiti,pro,191,316
stanoviti,ustanoviti,u,18,138
padati,opadati,o,224,102
boleti,oboleti,o,1,70
kretati,skretati,s,729,54
ticati,sticati,s,298,187
vesti,prevesti,pre,34,200
slijediti,proslijediti,pro,24,3
premati,pripremati,pri,13,162
bogatiti,obogatiti,o,2,39
putovati,proputovati,pro,406,15
vjeriti,uvjeriti,u,4,7
umiti,razumiti,raz,3,3
pominjati,napominjati,na,625,47
vesti,razvesti,raz,34,94
nizati,nanizati,na,17,12
kazati,ukazati,u,958,169
ceniti,oceniti,o,63,72
dati,udati,u,1738,127
otkrivati,razotkrivati,raz,376,17
značiti,označiti,o,1210,228
miniti,zaminiti,za,5,2
raditi,izraditi,iz,5268,124
hvatiti,uhvatiti,u,9,166
davati,predavati,pre,976,361
siti,prositi,pro,49,7
mirati,umirati,u,8,293
sveti,posveti,po,9,39
padati,upadati,u,224,35
rastajati,izrastajati,iz,10,5
ploviti,doploviti,do,67,4
biti,izbiti,iz,887637,206
družiti,udružiti,u,68,89
biti,razbiti,raz,887637,99
harati,poharati,po,3,5
trajati,potrajati,po,1080,26
pasti,zapasti,za,648,77
mati,premati,pre,2,13
ići,prići,pr,1070,85
kazivati,dokazivati,do,11,88
boriti,oboriti,o,941,223
goreti,izgoreti,iz,11,56
slići,oslići,o,35,22
crtati,nacrtati,na,40,163
propastiti,upropastiti,u,4,13
ložiti,priložiti,pri,5,21
kupirati,okupirati,o,1,109
tumačiti,protumačiti,pro,424,20
nositi,prenositi,pre,1653,351
boliti,oboliti,o,16,4
hvatati,zahvatati,za,66,96
starati,postarati,po,43,19
leti,izleti,iz,91,34
davati,dodavati,do,976,155
krasiti,skrasiti,s,28,3
uočavati,suočavati,s,91,161
snovati,zasnovati,za,1,28
hvatiti,pohvatiti,po,9,50
buditi,pobuditi,po,17,9
vršiti,dovršiti,do,832,41
igrati,zaigrati,za,5137,169
raziti,zaraziti,za,1,21
smatrati,posmatrati,po,3242,290
dovezivati,nadovezivati,na,1,27
spasti,zaspasti,za,120,17
boraviti,zaboraviti,za,360,84
paziti,spaziti,s,35,7
lagati,polagati,po,6,186
deliti,dodeliti,do,821,146
pisati,popisati,po,1318,11
stradati,postradati,po,252,12
poručivati,preporučivati,pre,12,164
moravati,primoravati,pri,1,27
skočiti,preskočiti,pre,63,72
baciti,prebaciti,pre,133,147
dati,nadati,na,1738,152
živeti,preživeti,pre,222864,389
taći,dotaći,do,2,10
krivati,prekrivati,pre,4,50
blagati,oblagati,o,18,14
teći,poteći,po,220,84
graditi,ograditi,o,374,12
bilježiti,obilježiti,o,12,31
putiti,uputiti,u,2,271
stavljati,dostavljati,do,211,34
dijeliti,dodijeliti,do,18,20
sjetiti,osjetiti,o,2,10
gledati,razgledati,raz,334,12
sjetiti,posjetiti,po,2,32
baviti,nabaviti,na,2030,62
čitati,pročitati,pro,158,96
priseti,zapriseti,za,4,1
premiti,dopremiti,do,4,9
desiti,zadesiti,za,468,49
slivati,poslivati,po,20,29
umeti,izumeti,iz,34,25
plaviti,preplaviti,pre,11,15
tati,stati,s,6,165
dužiti,pridužiti,pri,12,1
lažiti,razlažiti,raz,20,20
ticati,oticati,o,298,31
blistati,zablistati,za,5,3
naći,snaći,s,1547,28
probati,oprobati,o,36,51
tresati,potresati,po,2,13
slediti,uslediti,u,401,289
bratiti,obratiti,o,4,163
dobiti,pridobiti,pri,4341,39
dati,zadati,za,1738,35
valiti,svaliti,s,1,2
pozvati,opozvati,o,274,12
vladati,svladati,s,578,3
terati,naterati,na,40,122
oteti,preoteti,pre,27,16
dodati,pridodati,pri,317,16
služiti,zaslužiti,za,1291,28
dirati,dodirati,do,16,35
daviti,udaviti,u,11,18
javiti,izjaviti,iz,350,493
braniti,zabraniti,za,772,135
veo,uveo,u,10,185
stići,prestići,pre,878,25
biti,probiti,pro,887637,92
množiti,pomnožiti,po,3,3
lediti,slediti,s,22,401
računati,preračunati,pre,125,3
mešati,smešati,s,133,7
čistiti,prečistiti,pre,11,4
pisati,raspisati,ras,1318,23
uzrokovati,prouzrokovati,pro,235,121
matrati,promatrati,pro,1,5
pomenuti,napomenuti,na,127,83
stiti,postiti,po,4,13
iskovati,iziskovati,iz,4,15
pucati,upucati,u,75,24
tučiti,potučiti,po,6,3
uočiti,suočiti,s,99,153
kriti,prikriti,pri,137,17
sjeti,prisjeti,pri,1,1
pamtiti,zapamtiti,za,22,26
kupiti,prikupiti,pri,441,127
javiti,dojaviti,do,350,4
javljivati,izjavljivati,iz,3,46
ići,naići,na,1070,169
ići,sići,s,1070,22
javljivati,prijavljivati,pri,3,35
padati,propadati,pro,224,35
likovati,nalikovati,na,1,19
žaliti,ožaliti,o,92,4
kasti,skasti,s,1,11
kazati,skazati,s,958,16
kotrljati,dokotrljati,do,2,1
kočiti,skočiti,s,4,63
nositi,snositi,s,1653,32
umrliti,izumrliti,iz,12,22
maći,pomaći,po,12,3
premati,opremati,o,13,10
glasati,izglasati,iz,102,26
puštati,spuštati,s,72,124
motriti,razmotriti,raz,5,59
čistiti,očistiti,o,11,51
videti,prevideti,pre,1310,12
ostajati,izostajati,iz,695,15
disati,udisati,u,8,9
lagati,zalagati,za,6,187
čuvati,očuvati,o,593,75
minirati,dominirati,do,4,398
stupiti,postupiti,po,403,16
ovladavati,preovladavati,pre,4,50
glasiti,naglasiti,na,191,110
pojati,pripojati,pri,2,9
laziti,polaziti,po,2,73
nići,ponići,po,2,45
kititi,okititi,o,2,10
lediti,nalediti,na,22,1
grabiti,ugrabiti,u,4,8
savetovati,posavetovati,po,105,11
bići,dobići,do,10,83
vezati,povezati,po,44,146
kopati,dokopati,do,6,17
tražiti,potražiti,po,912,64
kloniti,zakloniti,za,2,5
koniti,zakoniti,za,1,10
diti,uditi,u,48,5
disati,izdisati,iz,8,3
postavljati,zapostavljati,za,354,9
duzati,oduzati,o,1,20
kopati,prokopati,pro,6,3
noći,prenoći,pre,4,6
mati,omati,o,2,1
bući,obući,o,1,11
vezati,prevezati,pre,44,11
javiti,prijaviti,pri,350,186
kazati,dokazati,do,958,240
reći,izreći,iz,1167,77
štedeti,poštedeti,po,7,12
vršiti,svršiti,s,832,7
ceniti,proceniti,pro,63,102
znati,doznati,do,1158,11
poravljati,oporavljati,o,3,21
kupiti,pokupiti,po,441,33
hvati,pohvati,po,31,13
siti,prisiti,pri,49,17
pustiti,propustiti,pro,85,124
bati,probati,pro,2,36
roniti,zaroniti,za,13,6
obići,zaobići,za,75,23
ticati,zaticati,za,298,18
davati,pridavati,pri,976,47
misliti,izmisliti,iz,458,63
miniti,preminiti,pre,5,1
uzdržavati,suzdržavati,s,7,6
vrediti,povrediti,po,30,56
topasti,stopasti,s,6,83
snažiti,osnažiti,o,3,14
pustiti,spustiti,s,85,73
paliti,zapaliti,za,87,37
edeti,sedeti,s,1,57
porediti,rasporediti,ras,61,31
risati,porisati,po,2,8
lutati,zalutati,za,27,7
primiti,poprimiti,po,492,35
istaći,proistaći,pro,582,1
putiti,zaputiti,za,2,9
hvaliti,zahvaliti,za,39,22
pitati,raspitati,ras,119,5
piti,popiti,po,117,25
gristi,ugristi,u,1,3
kraditi,ukraditi,u,17,35
paliti,upaliti,u,87,3
krasti,ukrasti,u,20,13
tvoriti,pritvoriti,pri,7,7
topiti,potopiti,po,27,18
kršiti,prekršiti,pre,37,36
pojiti,spojiti,s,6,87
sezati,posezati,po,4,2
važiti,uvažiti,u,258,8
sloviti,usloviti,u,4,47
pratiti,popratiti,po,1094,2
učiti,proučiti,pro,387,17
držiti,pridržiti,pri,2,1
raditi,razraditi,raz,5268,13
nositi,nanositi,na,1653,60
pustošiti,opustošiti,o,9,19
počneti,započneti,za,3,67
učiti,izučiti,iz,387,23
izlaziti,proizlaziti,pro,586,23
puniti,popuniti,po,20,38
postaviti,zapostaviti,za,833,5
raziti,poraziti,po,1,180
prečiti,preprečiti,pre,1,2
dvojati,razdvojati,raz,1,18
usmeriti,preusmeriti,pre,66,18
živjeti,doživjeti,do,159,21
nalaziti,snalaziti,s,230463,30
voziti,izvoziti,iz,376,32
računati,uračunati,u,125,9
ispitati,preispitati,pre,81,19
ušiti,sušiti,s,23,56
premiti,spremiti,s,4,25
interesovati,zainteresovati,za,37,43
titi,prititi,pri,72,17
broditi,prebroditi,pre,2,7
seti,poseti,po,12,6
kupiti,skupiti,s,441,59
videti,uvideti,u,1310,48
reći,poreći,po,1167,7
sporiti,osporiti,o,12,39
sezati,dosezati,do,4,13
rušiti,urušiti,u,38,24
pustiti,raspustiti,ras,85,42
krenuti,skrenuti,s,751,75
moći,domoći,do,15565,31
posedati,zaposedati,za,1,7
stati,pristati,pri,165,173
kopati,ukopati,u,6,3
nositi,unositi,u,1653,70
ceniti,uceniti,u,63,3
pretiti,zapretiti,za,132,26
nemogati,iznemogati,iz,1,3
vići,povići,po,3,3
ložiti,složiti,s,5,127
dubiti,produbiti,pro,3,14
sleti,usleti,u,1,2
meriti,zameriti,za,167,6
štediti,poštediti,po,13,16
biti,pobiti,po,887637,45
putovati,doputovati,do,406,13
piriti,opiriti,o,1,5
boleti,poboleti,po,1,1
isticati,proisticati,pro,555,36
meriti,izmeriti,iz,167,21
kretati,okretati,o,729,91
ostavljati,izostavljati,iz,200,12
puštati,propuštati,pro,72,18
taći,staći,s,2,2
lamati,prelamati,pre,1,7
piti,upiti,u,117,25
pijati,upijati,u,4,11
klanjati,zaklanjati,za,14,3
misliti,zamisliti,za,458,57
ostaviti,izostaviti,iz,631,14
stavljati,prestavljati,pre,211,28
mičiti,pomičiti,po,1,3
zdržati,uzdržati,u,1,15
kružiti,okružiti,o,34,26
veriti,uveriti,u,22,42
staviti,prestaviti,pre,308,8
bići,obići,o,10,75
povediti,propovediti,pro,1,6
ostajati,zaostajati,za,695,54
stizati,pristizati,pri,292,36
mati,bezmati,bez,2,4
dobivati,pridobivati,pri,10,18
javati,prijavati,pri,29,8
cureti,procureti,pro,1,10
pisati,pripisati,pri,1318,37
tražiti,stražiti,s,912,5
valiti,razvaliti,raz,1,4
vikati,izvikati,iz,3,1
pucati,zapucati,za,75,7
leti,poleti,po,91,14
raditi,proraditi,pro,5268,12
zirati,nazirati,na,1,1
dejstvovati,izdejstvovati,iz,35,21
dužiti,podužiti,po,12,1
vodati,svodati,s,1,4
pratati,pripratati,pri,2,1
valiti,prevaliti,pre,1,4
šati,pošati,po,1,39
venčati,ovenčati,o,115,1
okupljati,zaokupljati,za,220,5
poznavati,prepoznavati,pre,152,93
imenovati,preimenovati,pre,196,27
kazati,zakazati,za,958,16
ložiti,izložiti,iz,5,61
štetiti,oštetiti,o,10,40
kočiti,ukočiti,u,4,2
