base_verb,prefixed_verb,prefix,freq_base,freq_prefixed
gomilati,nagomilati,na,3,1
smatrati,osmatrati,o,640,3
činiti,načiniti,na,735,20
rasti,prerasti,pre,52,31
smisliti,osmisliti,o,3,12
poznati,upoznati,u,3,41
isteći,proisteći,pro,4,15
datirati,predatirati,pre,60,1
značiti,označiti,o,261,49
ticati,uticati,u,43,145
interesivati,zainteresivati,za,3,2
stizati,postizati,po,33,24
sloviti,usloviti,u,2,11
beležiti,ubeležiti,u,28,1
pasti,raspasti,ras,59,28
primiti,poprimiti,po,50,9
misliti,smisliti,s,62,3
nositi,unositi,u,138,17
krstiti,ukrstiti,u,2,1
davati,prodavati,pro,116,8
kazivati,dokazivati,do,3,8
ticati,sticati,s,43,22
graničiti,ograničiti,o,163,13
voditi,svoditi,s,240,15
živjeti,zaživjeti,za,21,2
poznati,spoznati,s,3,5
brojiti,ubrojiti,u,1,2
pomenuti,spomenuti,s,21,14
družiti,pridružiti,pri,2,57
znati,poznati,po,117,3
kupiti,prikupiti,pri,21,18
izlaziti,proizlaziti,pro,105,7
vladati,prevladati,pre,181,6
graničiti,razgraničiti,raz,163,2
aviti,praviti,pr,4,37
polagati,raspolagati,ras,17,29
ružiti,oružiti,o,1,1
bližiti,pobližiti,po,1,1
besneti,razbesneti,raz,1,4
pijati,opijati,o,1,1
laviti,slaviti,s,3,24
čistiti,pročistiti,pro,2,1
goniti,progoniti,pro,4,3
ponašati,oponašati,o,5,2
živjeti,doživjeti,do,21,8
primati,poprimati,po,38,3
vući,privući,pri,3,22
niti,doniti,do,2,5
pomenuti,napomenuti,na,21,17
vesti,prevesti,pre,3,20
živeti,oživeti,o,569,9
bazirati,obazirati,o,21,1
dati,nadati,na,232,13
seći,doseći,do,3,11
brojiti,nabrojiti,na,1,1
krenuti,okrenuti,o,62,23
puštati,prepuštati,pre,7,3
dodati,pridodati,pri,28,5
davati,pridavati,pri,116,6
tvoriti,zatvoriti,za,3,13
vaditi,izvaditi,iz,3,6
čistiti,očistiti,o,2,2
nositi,nanositi,na,138,4
gledati,izgledati,iz,47,27
bivati,dobivati,do,33,9
uzimati,preuzimati,pre,58,24
minirati,dominirati,do,1,111
seliti,naseliti,na,11,51
ići,prići,pr,99,7
mašiti,premašiti,pre,1,10
znati,priznati,pri,117,81
stupati,nastupati,na,10,16
gađati,događati,do,1,25
poznavati,spoznavati,s,30,8
paziti,zapaziti,za,3,15
video,uvideo,u,36,1
seći,preseći,pre,3,3
provoditi,sprovoditi,s,28,47
vršiti,površiti,po,113,1
otkrivati,razotkrivati,raz,28,3
kretati,pokretati,po,193,19
baciti,prebaciti,pre,21,9
teći,oteći,o,32,1
sećati,osećati,o,5,33
boriti,oboriti,o,100,7
ženiti,oženiti,o,5,24
pitati,raspitati,ras,8,2
davati,izdavati,iz,116,16
počneti,započneti,za,1,6
dati,udati,u,232,15
služiti,zaslužiti,za,146,5
vezati,povezati,po,5,15
beležiti,obeležiti,o,28,35
skratiti,uskratiti,u,4,3
sreti,presreti,pre,4,2
tražiti,potražiti,po,103,4
naći,snaći,s,166,2
teći,poteći,po,32,13
posviti,naposviti,na,3,1
učiti,naučiti,na,52,21
kazati,ukazati,u,89,10
vući,povući,po,3,75
seliti,doseliti,do,11,21
sloviti,osloviti,o,2,1
uzeti,zauzeti,za,20,108
vesti,zavesti,za,3,10
pustiti,raspustiti,ras,7,17
terati,proterati,pro,4,26
nositi,iznositi,iz,138,398
stupati,pristupati,pri,10,4
roditi,uroditi,u,54,4
gasiti,zagasiti,za,4,1
premati,pripremati,pri,1,17
bilježiti,zabilježiti,za,3,2
sušiti,osušiti,o,2,1
čati,pričati,pri,5,25
puštati,spuštati,s,7,34
čuvati,očuvati,o,41,19
stizati,dostizati,do,33,34
ticati,proticati,pro,43,23
biti,probiti,pro,49796,11
dijeliti,podijeliti,po,1,10
mjeriti,pomjeriti,po,4,1
vladati,ovladati,o,181,9
jačati,ojačati,o,8,28
pasti,opasti,o,59,28
zabaviti,pozabaviti,po,1,4
slijediti,uslijediti,u,8,13
pasti,napasti,na,59,56
biti,izbiti,iz,49796,47
rušiti,srušiti,s,5,11
rasti,porasti,po,52,55
dati,predati,pre,232,55
glasiti,naglasiti,na,18,9
tvoriti,otvoriti,o,3,32
temeljiti,utemeljiti,u,11,8
priniti,dopriniti,do,1,3
graditi,nagraditi,na,45,4
voziti,izvoziti,iz,3,25
glasati,izglasati,iz,20,14
kupiti,okupiti,o,21,11
poloviti,prepoloviti,pre,1,3
pominjati,spominjati,s,50,35
padati,propadati,pro,53,11
rastati,izrastati,iz,16,5
obratiti,preobratiti,pre,18,7
stajati,ustajati,u,54,2
biti,razbiti,raz,49796,5
slaviti,proslaviti,pro,24,9
urediti,preurediti,pre,5,1
boraviti,zaboraviti,za,26,3
javiti,najaviti,na,27,21
kočiti,zakočiti,za,1,1
ceniti,oceniti,o,6,6
stavljati,dostavljati,do,28,3
vrediti,povrediti,po,5,3
čekati,dočekati,do,13,10
svedočiti,posvedočiti,po,35,2
paliti,spaliti,s,9,8
baciti,ubaciti,u,21,3
stignuti,postignuti,po,5,8
bližiti,približiti,pri,1,20
računati,izračunati,iz,21,13
suditi,dosuditi,do,21,2
pustiti,napustiti,na,7,99
držati,izdržati,iz,83,5
živiti,doživiti,do,1,3
činiti,počiniti,po,735,14
hvaliti,pohvaliti,po,4,3
dijeti,udijeti,u,12,1
monašiti,zamonašiti,za,1,3
postaviti,upostaviti,u,92,1
studirati,prostudirati,pro,30,1
ići,razići,raz,99,5
dobiti,pridobiti,pri,411,7
teći,zateći,za,32,11
setiti,posetiti,po,2,35
voliti,privoliti,pri,1,1
žiti,užiti,u,1,1
padati,opadati,o,53,34
umrliti,izumrliti,iz,2,7
ovladavati,preovladavati,pre,1,20
