глагол,частота
pretrpeti,232
mešati,231
podneti,231
seliti,231
čekati,230
procenjivati,230
odrastati,229
rezultirati,228
prihvatati,228
komponovati,228
rešavati,227
spasiti,227
promovisati,227
zatražiti,226
uhvatiti,225
saznavati,225
prodati,225
odneti,224
odvojiti,223
okupiti,223
raspolagati,222
kombinovati,222
izražavati,222
poraziti,222
prevoditi,222
obaviti,221
sagraditi,221
izbaciti,221
zadržavati,221
poslužiti,221
potpisivati,220
preporučivati,220
komandovati,219
pričati,218
okrenuti,218
uređivati,218
generisati,217
bežati,216
poštovati,216
platiti,215
admirati,215
pristati,215
odvesti,214
realizovati,214
ponašati,214
nadati,214
zaposliti,212
pretvarati,211
obrađivati,211
pripisivati,211
sticati,209
sklopiti,209
pronalaziti,208
glumiti,208
čitati,207
izlagati,206
baciti,206
ukazati,206
odabrati,206
upoznavati,203
plaćati,203
ponavljati,203
razmatrati,202
prepoznati,201
polagati,201
izboriti,201
odbaciti,200
sastati,200
hraniti,200
doživljavati,200
graničiti,199
poznavati,199
analizirati,199
ukloniti,197
uspiti,196
potvrđivati,195
priznavati,195
preduzeti,195
protezati,194
privlačiti,194
osigurati,193
sastaviti,193
odvajati,191
slaviti,191
tretirati,191
prestajati,190
upisivati,189
odreći,188
podizati,187
predlagati,187
zadovoljavati,186
izneti,186
povezati,184
izbijati,182
podnositi,182
brinuti,182
implementirati,180
obratiti,180
sačinjavati,180
obeležiti,179
izdvojiti,176
školovati,176
pomerati,176
okruživati,175
izbegavati,175
pogoditi,174
nedostajati,174
ličiti,174
aktivirati,174
nestati,173
eliminisati,173
nameravati,172
podsticati,172
slagati,172
testirati,171
uočiti,171
finansirati,169
naneti,169
upućivati,168
ubrajati,167
izraditi,166
pokloniti,166
pretiti,165
posećivati,165
spremati,164
zatvoriti,163
regulisati,163
okončati,163
spuštati,162
opadati,161
dostignuti,160
čiti,159
postignuti,158
poklapati,157
ubediti,157
primorati,157
pripremati,156
pripremiti,155
popraviti,155
konstruisati,155
propustiti,155
manifestovati,154
kriti,154
prikupljati,154
rukovoditi,153
dobići,153
upotrebiti,152
obeležavati,151
ispunjavati,151
ponoviti,151
igrasti,149
naterati,149
sam,148
prikupiti,148
porasti,148
živjeti,148
ispasti,148
zastupati,148
projektovati,148
osmisliti,148
srušiti,148
položiti,148
ojačati,147
zamenjivati,147
omogućivati,147
prodavati,146
ujediniti,145
razgovarati,145
ploviti,144
ilustrovati,144
shvatati,144
uzmiti,144
razbiti,143
ograničavati,142
ispoljavati,142
pridruživati,141
razmotriti,140
unaprediti,140
predviđati,140
jesti,140
naglašavati,140
izučavati,140
pročitati,140
okretati,139
kupovati,139
prethoditi,138
oslobađati,138
izbegnuti,138
pogledati,138
prilagoditi,138
učestovati,138
proveravati,137
nailaziti,137
uzgajati,137
rezultovati,136
nastanjivati,136
magistrirati,136
insistirati,135
suočavati,134
korist,134
olakšavati,133
dizajnirati,133
dočekati,133
susretati,132
zahvatiti,132
komunicirati,132
zateći,132
glasati,132
osetiti,132
uhapsiti,132
zaraditi,132
spasti,131
suprotstaviti,131
proceniti,130
približavati,130
uočavati,130
poći,130
plivati,130
suočiti,129
oblikovati,129
simbolizovati,129
razmnožavati,129
skloniti,129
prouzrokovati,128
odražavati,128
proveriti,128
nametnuti,128
otputovati,128
izrađivati,128
žaliti,127
pišati,127
proslavljati,127
probiti,127
opljačkati,126
ispostaviti,126
ratovati,126
unositi,126
ugušiti,125
obećati,125
proterati,125
garantovati,124
odobriti,124
dokazivati,124
sugerisati,124
odbacivati,124
proslaviti,123
razmišljati,123
prerasti,123
pitati,123
ustanoviti,122
udariti,122
produžiti,122
zamisliti,122
dospeti,122
gnezditi,122
pomenuti,122
podstaći,121
utvrđivati,120
uništavati,120
prići,120
moliti,119
optužiti,119
koštati,118
zaštititi,118
okupirati,118
hrana,117
svoditi,117
poneti,116
oporaviti,116
približiti,116
uspostavljati,116
poboljšavati,116
rađati,115
truditi,115
obuhvatiti,115
izračunavati,114
počivati,114
magistrati,114
emigrirati,113
uporediti,113
savetovati,113
slušati,113
klasifikovati,113
obraćati,112
detektovati,112
uzdizati,112
sakupiti,112
spavati,112
raspasti,112
protiviti,112
očuvati,111
nastaniti,111
istražiti,111
angažovati,111
nanositi,110
skupljati,110
polaziti,110
izmeniti,110
zahvatati,110
izdržati,108
udati,108
obnavljati,108
prevazići,108
ispitovati,107
spustiti,107
preskočiti,107
leti,107
naglasiti,107
transformisati,106
sastajati,106
olakšati,106
zapisati,105
načiniti,105
doseliti,105
blokirati,105
uklanjati,105
zabraniti,105
posvećivati,104
simulirati,104
evoluirati,104
pojačati,104
negovati,104
ubaciti,104
razvesti,103
napomenuti,103
odvoditi,103
razdvajati,103
smestiti,102
ustupiti,102
izvući,102
registrovati,102
spojiti,102
prekidati,101
porediti,101
probuditi,101
raspravljati,101
zatvarati,101
apsorbovati,100
nadgledati,100
nametati,100
zaigrati,100
proširivati,100
poleteti,100
predvideti,100
proizilaziti,100
oduzeti,99
preduzimati,99
ograničiti,99
gaviti,99
takmiti,99
ukinuti,98
izbacivati,98
učvrstiti,98
venčati,98
ovladati,98
piti,98
nestajati,97
usmeravati,97
počiniti,97
ubrzati,96
pati,96
uzmeti,96
pristajati,96
pobeđivati,96
inspirisati,96
propasti,96
smeštati,96
obići,95
zaključivati,95
bazirati,95
uvis,95
izviriti,94
distribuirati,94
urediti,94
dopuštati,94
naslikati,94
pregovarati,93
ignorisati,93
svrstati,93
odigravati,93
obraditi,92
sakupljati,92
skupiti,92
povrediti,92
pobuniti,92
iskazivati,92
stupati,92
umresati,91
praktikovati,91
poteći,91
startovati,91
modifikovati,91
zaboraviti,91
odatliti,91
ispitati,90
skrenuti,90
složiti,90
prilagođavati,89
pucati,89
zaustavljati,89
spaliti,89
zavladati,89
zamonašiti,89
smenjivati,88
snabdevati,88
trpeti,88
svrstavati,88
prodasti,88
otkupiti,88
proizvod,88
bacati,87
ometati,87
izmisliti,87
hvatati,86
pokoriti,86
sklapati,86
sukobiti,86
diti,85
paliti,85
opstati,85
tj.,85
sakriti,85
pristup,85
ugrožavati,84
obrasti,84
kulminirati,84
isključiti,84
saopštiti,84
dogovoriti,84
uvrstiti,83
stignuti,83
pojačavati,83
primećivati,82
udružiti,82
crtati,82
ugroziti,81
upoređivati,81
zadovoljati,81
prebacivati,81
gostovati,81
pustiti,81
zapošljavati,81
konzumirati,81
osuditi,81
izgovarati,81
br.,81
skrivati,80
uložiti,80
zbaciti,80
integrisati,80
zanimati,80
pohvaliti,80
zabranjivati,80
poveriti,80
mučiti,80
popesti,79
orbiti,79
zadati,79
uvećavati,79
događati,79
nabaviti,79
usavršavati,79
instalirati,79
oticati,78
usmeriti,78
pomeriti,78
preferirati,78
uneti,78
nacrtati,78
upiti,78
lansirati,77
prirediti,77
vlasteti,77
svesti,77
iskrcati,77
osvesiti,77
izjednačiti,76
prepustiti,76
osnoviti,76
implicirati,76
zadovoljiti,76
isplivati,76
sortirati,76
inicirati,75
eskadriti,75
dejstvovati,75
dostaviti,75
započneti,75
ocenjivati,75
formulisati,75
potražiti,75
zaljubiti,75
narasti,74
trošiti,74
pogoršati,74
preovlađivati,74
obilaziti,74
javati,74
koncentrisati,73
bolovati,73
pogubiti,73
prepoznavati,73
usvajati,73
potisnuti,73
pridržavati,73
obavestiti,73
otežavati,72
pobiti,72
orasti,72
sazvati,72
zapaliti,71
plašiti,71
opsedati,71
=ati,71
izdržavati,71
padnuti,71
rekonstruisati,71
proisticati,70
popuniti,70
pozajmiti,70
izložiti,70
premestiti,70
prekrivati,70
isključivati,70
ažurirati,70
posjedovati,70
trijumfovati,70
usporavati,69
zaostajati,69
iskazati,69
saopštavati,69
ustati,69
obećavati,69
loviti,69
novesti,69
kodirati,69
viđati,68
izmeriti,68
angaživati,68
obaveštavati,68
oživeti,68
poslovati,68
zaljubljivati,67
umanjiti,67
opkoliti,67
sedeti,67
pozajmljivati,67
jačiti,67
demonstrirati,67
naručiti,67
ugledati,67
izveštavati,67
preseti,67
intervenisati,67
dospevati,66
izgoreti,66
djelovati,66
oslabiti,66
siti,66
spasati,66
zaštita,66
službovati,66
manipulisati,66
rastati,65
upozoravati,65
pristizati,65
rivati,65
podesiti,65
pusti,65
kažnjavati,65
sazrevati,65
negirati,64
ulagati,64
zadobiti,64
ugrađivati,64
duvati,64
vezati,64
proglašavati,64
starati,64
skočiti,64
rotirati,63
opredeliti,63
opasti,63
ubrzavati,63
pošati,63
rušiti,63
darovati,63
pozoviti,63
prevazilaziti,63
transportovati,63
obnova,63
skladištiti,63
ugasiti,63
obavezati,63
suprotstavljati,63
prezentovati,63
prisiliti,63
kopirati,63
obilovati,63
suditi,63
pomiriti,62
uvideti,62
probijati,62
spomenuti,62
uklapati,62
sabirati,62
cvetati,62
oceniti,62
naređivati,62
obitavati,61
poseta,61
pregledati,61
stabilizovati,61
poklanjati,61
redukovati,61
krunisati,61
domoći,61
uveriti,61
stanovati,61
umrasti,60
slomiti,60
konvertovati,60
izjasniti,60
skretati,60
trčati,60
oprostiti,60
grupisati,59
pljačkati,59
raskinuti,59
primoravati,59
popunjavati,59
opravdati,59
gajiti,59
izvučiti,59
priprema,59
ispadati,59
primena,59
proisteći,58
odstupati,58
usporiti,58
zati,58
podudarati,58
imitirati,58
vrediti,58
nadoknaditi,58
pristići,58
rasporediti,58
usloviti,58
izmiriti,58
dovršiti,58
pogađati,58
sušiti,58
bojati,57
izdejstvovati,57
prodreti,57
pripisati,57
preseći,57
producirati,57
zastareti,57
oštetiti,57
družiti,57
oduzimati,57
nuti,57
zapasti,57
ohrabriti,57
poništiti,57
razmenjivati,57
odložiti,57
obojati,56
skovati,56
penzionisati,56
raslati,56
prijavljivati,56
letiti,56
upadati,56
zadesiti,56
okarakterisati,56
dočeći,56
sagledati,56
izvlačiti,56
priključivati,56
otpasti,56
zarađivati,56
nasleđivati,56
zasnovati,55
umanjivati,55
optuživati,55
potrošiti,55
interpretirati,55
odati,55
preporučiti,55
potrajati,55
napuniti,55
zasluživati,55
hvaliti,55
mokratiti,55
ispraviti,54
nadovezivati,54
ispitivati,54
oformiti,54
vežati,54
progoniti,54
osporavati,54
zamoliti,54
zagovarati,54
goniti,54
ispoljiti,54
posredovati,54
pripovedati,54
izgrađivati,54
pojesti,54
odgovor,54
napad,54
preklapati,54
osuđivati,53
osiguravati,53
interesovati,53
ispasiti,53
zagrevati,53
sresti,53
maturirati,53
posveti,53
ispuštati,53
sediti,53
puštati,53
isploviti,53
uvlačiti,53
stimulisati,53
podučavati,53
kružiti,52
prodiriti,52
izdizati,52
eksplodirati,52
temeljiti,52
preoteti,52
preplitati,52
ugraditi,52
tragati,52
skinuti,52
izlečiti,52
sumirati,52
oboleti,51
opustošiti,51
pomisliti,51
komentarisati,51
precizirati,51
migrirati,51
ublažiti,51
slići,51
oponašati,51
umešati,51
žrtvovati,51
naložiti,51
ukrštati,51
oko,51
potčiniti,51
trgovati,51
gavati,50
bombardovati,50
vjerovati,50
fotografisati,50
isplatiti,50
ustvariti,50
dopustiti,50
preovladavati,50
oslikavati,50
nabavljati,50
vučiti,50
zainteresovati,49
propuštati,49
sastavljati,49
oterati,49
viditi,49
propadati,49
probovati,49
pogodovati,49
uvećati,49
ponići,49
najavljivati,49
okrući,49
isporučiti,49
umeti,49
isporučivati,49
odavati,49
streljati,48
oslići,48
odseliti,48
potpadati,48
strujati,48
kršiti,48
pokupiti,48
hodati,48
susresti,48
upozoriti,48
potući,48
nagovoriti,48
brisati,48
donirati,48
vežbati,48
sviliti,48
konstatovati,47
montirati,47
ženiti,47
podariti,47
projektiti,47
reorganizovati,47
onemogućavati,47
zimeti,47
predsedavati,47
očistiti,47
isterati,47
spašavati,47
pokriti,46
raširiti,46
seći,46
citirati,46
pretstavljati,46
vazati,46
sačekati,46
tužiti,46
saditi,46
prodirati,45
sukobljavati,45
regrutovati,45
ispaljivati,45
štampati,45
juriti,45
presecati,45
sumnjati,45
doseći,45
izolovati,45
smeniti,45
dinati,45
razbolesti,45
prebeći,45
vaditi,45
pridavati,45
dugovati,45
reprodukovati,45
raciti,45
deklarisati,44
oteti,44
odazvati,44
nastradati,44
sintetisati,44
uspjeti,44
bligati,44
popularizovati,44
bližati,44
unistiti,44
prevoziti,44
bisti,44
k,44
prilaziti,44
razići,44
konvergirati,44
uslovljavati,43
pustošiti,43
sreti,43
dopuniti,43
smetati,43
ukidati,43
prevariti,43
otkazati,43
gađati,43
upad,43
unapređivati,43
štafeti,43
rukovati,43
ispričati,43
odraziti,43
kupatiti,43
onemogućiti,42
raniti,42
bešati,42
uručiti,42
mrzeti,42
odvodnjavati,42
dražiti,42
zračiti,42
otpočinjati,42
propisivati,42
propagirati,42
razdvojiti,42
locirati,42
osporiti,42
potiskovati,42
odobravati,42
diskutovati,42
porušiti,42
prodaja,42
objedinjivati,42
popravljati,42
formutati,42
specijalizovati,41
ceniti,41
skratiti,41
udarati,41
obučavati,41
leteti,41
sadržavati,41
narušiti,41
pretražovati,41
sleteti,41
jačati,41
ubacivati,41
kontaktirati,41
otpustiti,41
postradati,41
učestati,41
dostavljati,41
ispratiti,41
premeštati,41
sahraniti,41
otploviti,41
propovedati,41
zaostati,41
eksperimentisati,41
kuvati,41
nalagati,41
usavršiti,40
odupreti,40
pariti,40
potonuti,40
reflektovati,40
zavesti,40
upustiti,40
podležati,40
protestovati,40
dodirovati,40
izjavljivati,40
odustajati,40
zabavljati,40
telenoveti,40
inhibirati,40
obarati,40
dopunjivati,40
osveti,39
doseziti,39
skidati,39
ujedinjivati,39
abdicirati,39
gurati,39
iznenaditi,39
osveštati,39
valjati,39
obožavati,39
spremiti,39
publikovati,39
udruživati,39
dokumentovati,39
žena,39
uklopiti,39
obustaviti,38
zanemariti,38
orbitirati,38
zapleniti,38
otkloniti,38
saobraćati,38
širok,38
tečiti,38
podešavati,38
izrastati,38
izučiti,38
udaljavati,38
zaobići,38
novonastati,38
dodjeljivati,38
smisliti,38
izreći,38
nazoviti,38
pozdraviti,38
snositi,38
pripojiti,38
razbijati,38
oglasiti,38
vrednovati,38
interesivati,37
nadmašiti,37
sačiniti,37
udaljiti,37
operisati,37
povisiti,37
koordinirati,37
sečiti,37
zapaziti,37
sežati,37
zapažati,37
rastvarati,37
vileti,37
odmarati,37
dvati,37
akumulirati,37
postupati,37
nazad,37
pohvatiti,37
}-,37
oglašavati,37
izumrlati,37
zapretiti,37
odsprintati,37
likvidirati,36
zaticati,36
on,36
ukrasiti,36
poslatiti,36
podležiti,36
proslediti,36
adaptirati,36
paraziti,36
reprezentovati,36
programirati,36
okititi,36
svjedočiti,36
nagraditi,36
učitavati,36
proizlaziti,36
upražnjavati,36
ubacovati,36
doživiti,36
diktirati,36
prozvati,35
produžavati,35
razoružati,35
izostaviti,35
prisvojiti,35
popustiti,35
odstraniti,35
oboleliti,35
slikati,35
narušavati,35
preimenovati,35
kriviti,35
oporavljati,35
razoriti,35
protumačiti,35
pomešati,35
sužavati,35
vući,35
terati,35
napominjati,35
katalizovati,35
vrteti,35
prepisati,35
stopasti,34
prerastiti,34
sprijateljiti,34
hladiti,34
obogatiti,34
ružiti,34
paziti,34
izumeti,34
poslatati,34
motivisati,34
kandidovati,34
doploviti,34
doniti,34
dospiti,34
topiti,34
proteći,34
afirmisati,34
odraditi,34
opstajati,34
vokati,34
zaratiti,34
izjašnjavati,34
pridobiti,34
osloniti,34
izvaditi,34
inficirati,34
kositi,34
čteti,34
zaposeti,33
zalaziti,33
objastiti,33
otpuštati,33
sviđati,33
raspad,33
sateliti,33
pamti,33
smiriti,33
ispucati,33
sanjati,33
iskusiti,33
otpevati,33
ugostiti,33
favorizovati,33
optimizovati,33
prestavljati,32
udaviti,32
omogutati,32
prinuditi,32
spoznati,32
večiti,32
ratifikovati,32
pamtiti,32
primjenjivati,32
darivati,32
proučiti,32
mapirati,32
predviditi,32
ispisati,32
popeti,32
sabrati,32
manastirati,32
poprimiti,32
spriječiti,32
zarobljavati,32
uzvratiti,32
gušiti,32
lučiti,32
ušiti,32
krstiti,32
priređivati,32
odabirati,32
distancirati,32
izvestiti,32
razvrstavati,31
interagovati,31
poneći,31
pjevati,31
dodirnuti,31
egzistirati,31
izleti,31
raspustiti,31
zamisati,31
odolevati,31
prekršiti,31
ohrabrovati,31
poslušati,31
uploviti,31
potopiti,31
prinositi,31
zapamtiti,31
referisati,31
probati,31
istupiti,31
pojednostaviti,31
suzbiti,30
izginuti,30
opremiti,30
patiti,30
zahtijevati,30
pokvariti,30
obilježavati,30
pokritati,30
odslužiti,30
forsirati,30
opsluživati,30
popremati,30
poznati,30
nađati,30
pristupati,30
silovati,30
rasliti,30
odgajati,30
krasiti,30
taložiti,30
evaluirati,30
vaniti,30
spojati,29
susreti,29
rizikovati,29
razrešiti,29
izgovoriti,29
hapsiti,29
dlakaviti,29
šaliti,29
raskidati,29
udvostručiti,29
razdvojati,29
potpati,29
štediti,29
vlastetati,29
oprobati,29
izvojevati,29
hvati,29
zaslužiti,29
pakovati,29
poželeti,29
priložiti,29
varati,29
aviti,29
su,29
viseti,29
uplašiti,28
jurišati,28
privesti,28
progutati,28
raznositi,28
premašivati,28
sponzorisati,28
investirati,28
tolerisati,28
napajati,28
oblačiti,28
useliti,28
pogoršavati,28
iseliti,28
iskopati,28
indukivati,28
informisati,28
znameniti,28
zaraziti,28
odvratiti,28
opsesti,28
vesti,28
opravdavati,28
preurediti,28
srasti,28
tukasti,28
skazati,28
sinhronizovati,28
naplaćivati,28
iskorišćavati,28
opažati,28
razbovati,28
preživljavati,28
izvoziti,28
masagati,28
komplikovati,28
trgujati,28
eksploatisati,28
pedati,28
kucati,28
blediti,27
kompletirati,27
objediniti,27
doseljavati,27
kazavati,27
razlažiti,27
prosti,27
zanemarivati,27
otpad,27
rangirati,27
vavljati,27
slivati,27
naseti,27
obrisati,27
zaobilaziti,27
asocirati,27
doti,27
pobrinuti,27
ubeđivati,27
dočekivati,27
snižavati,27
usprotiviti,27
ispisivati,27
prosleđivati,27
pokrstiti,27
srediti,27
dopreti,27
poistoveći,27
poseći,27
priuštiti,27
reprizirati,27
zaspasti,27
razmisliti,27
izabeti,27
anektirati,26
prouzrokivati,26
davasti,26
okružiti,26
sklanjati,26
dodirati,26
utemeljiti,26
obračunati,26
rukopoložiti,26
poresti,26
sići,26
snalaziti,26
upuštati,26
prestići,26
doniteti,26
šetati,26
obračunavati,26
odmetnuti,26
izjednačavati,26
zovesti,26
modernizovati,26
pojednostavljiva,26
zapisovati,26
suprostavljati,26
prizivati,26
raspisati,26
prisećati,26
ispaliti,26
sahranjivati,26
pozaditi,26
generalizovati,26
izrasti,26
osušiti,26
doznati,25
uvući,25
oduzati,25
opredeljivati,25
uveravati,25
spirati,25
kiša,25
demolirati,25
pospešivati,25
dosezati,25
evakuisati,25
smešati,25
cirkulisati,25
izlivati,25
dopunjavati,25
potpomagati,25
modelirati,25
nagoveštavati,25
puniti,25
diviti,25
pročuti,25
razraditi,25
remeti,25
lutati,25
dizati,25
uslijediti,25
dogovarati,25
gasiti,25
nalikovati,25
prikloniti,25
obučiti,25
uginuti,25
obolesti,25
poručiti,25
prerađivati,25
podsetiti,25
preraditi,25
osvetiti,25
preusmeriti,25
maršati,25
zamišljati,25
zaklesti,25
ohrabrivati,25
kompajlirati,25
modelovati,25
hlorofiti,25
ubrizgavati,24
oštećivati,24
narastati,24
ukrcati,24
ideti,24
otežati,24
sagorevati,24
pretraživati,24
upgraditi,24
upijati,24
prititi,24
savijati,24
izostati,24
navići,24
intervjuisati,24
obavezivati,24
kazniti,24
pobrđtiti,24
turnir,24
mijenjati,24
eskalirati,24
zidati,24
prepoznuti,24
stolovati,24
zadužiti,24
posjetiti,24
dignuti,24
obesiti,24
vidjeti,24
plemeniti,24
dirati,24
zaboravljati,24
nizati,24
presušiti,24
sagledavati,24
degradirati,24
suprostaviti,24
topasti,24
prokomentarisati,24
dijagnostisati,23
odasti,23
sudariti,23
čistiti,23
skiniti,23
pokoravati,23
upitati,23
obavesti,23
vezivati,23
ukrasti,23
promijeniti,23
nadmašivati,23
zlostavljati,23
zaživeti,23
prepuštati,23
simbolisati,23
oživljavati,23
premašiti,23
isteći,23
uvoziti,23
divergirati,23
slaći,23
udavati,23
uvati,23
presreti,23
unajmiti,23
sustići,23
prodroti,23
razjasniti,23
ukrašavati,23
setiti,23
prisiljavati,23
pogotovati,23
odseći,23
preslikavati,23
nagovestiti,23
oslovljavati,23
kidnapovati,23
učitati,23
doticati,23
sejati,23
dišiti,23
sazidati,23
plakati,23
provlačiti,23
aproksimirati,23
zaveštati,23
proganjati,23
tematizovati,23
sećati,22
odlažiti,22
popuštati,22
spekulisati,22
zasaditi,22
prikrivati,22
poslivati,22
podlegati,22
gurnuti,22
zbiti,22
mobilisati,22
vaspitavati,22
razvoditi,22
postupiti,22
posumnjati,22
usmrtiti,22
sletiti,22
pobrđati,22
premati,22
delegati,22
upotpuniti,22
planeti,22
skakati,22
pobeda,22
oduševiti,22
skraćivati,22
spoznavati,22
asistirati,22
osvetljavati,22
grejati,22
uskladiti,22
zabilježiti,22
istupati,22
rasplamsati,22
zvučiti,22
požuriti,22
rečiti,22
namamiti,22
uznemiriti,22
zapisivati,22
sjediniti,22
sakrivati,22
pušiti,22
uzdići,22
izroditi,22
smesti,22
osleći,22
sudelovati,22
minimizirati,22
preobraziti,22
